episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-919.6510367383381,919.6510367383381,1,0.0,1.0,11,double_dqn,0
1,-1214.3217183689055,1214.3217183689055,1,0.0,1.0,13,double_dqn,0
2,-1899.2565771563147,1899.2565771563147,1,0.0,1.0,6,double_dqn,0
3,-1105.2363891332138,1105.2363891332138,1,0.0,1.0,10,double_dqn,0
4,-913.7525048875784,913.7525048875784,1,0.0,1.0,6,double_dqn,0
5,-1662.7028850568936,1662.7028850568936,1,0.0,1.0,5,double_dqn,0
6,-714.2471787390866,714.2471787390866,1,0.0,1.0,11,double_dqn,0
7,-1620.1741373111,1620.1741373111,1,0.0,1.0,12,double_dqn,0
8,-1342.8912045025736,1342.8912045025736,1,0.0,1.0,3,double_dqn,0
9,-2188.2389777139906,2188.2389777139906,1,0.0,1.0,12,double_dqn,0
10,-810.6403050094625,810.6403050094625,1,0.0,1.0,10,double_dqn,0
11,-1101.4391160386886,1101.4391160386886,1,0.0,1.0,7,double_dqn,0
12,-694.9129668416833,694.9129668416833,1,0.0,1.0,9,double_dqn,0
13,-678.0314645102325,678.0314645102325,1,0.0,1.0,7,double_dqn,0
14,-683.1760310973884,683.1760310973884,1,0.0,1.0,6,double_dqn,0
15,-1453.555537325379,1453.555537325379,1,0.0,1.0,7,double_dqn,0
16,-1896.039941379514,1896.039941379514,1,0.0,1.0,8,double_dqn,0
17,-1509.5907801079456,1509.5907801079456,1,0.0,1.0,8,double_dqn,0
18,-1693.4076091416212,1693.4076091416212,1,0.0,1.0,6,double_dqn,0
19,-1121.3995149401837,1121.3995149401837,1,0.0,1.0,7,double_dqn,0
20,-1069.9948523787173,1069.9948523787173,1,0.0,1.0,9,double_dqn,0
21,-889.8031142790884,889.8031142790884,1,0.0,1.0,7,double_dqn,0
22,-966.4406184167284,966.4406184167284,1,0.0,1.0,7,double_dqn,0
23,-2499.5375061034792,2499.5375061034792,1,0.0,1.0,1,double_dqn,0
24,-989.495454892811,989.495454892811,1,0.0,1.0,16,double_dqn,0
25,-837.0874777294613,837.0874777294613,1,0.0,1.0,11,double_dqn,0
26,-2514.962463378879,2514.962463378879,1,0.0,1.0,1,double_dqn,0
27,-1531.7505503724872,1531.7505503724872,1,0.0,1.0,2,double_dqn,0
28,-1441.5912779615273,1441.5912779615273,1,0.0,1.0,3,double_dqn,0
