episode,step,t,timestamp_ns,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,-1,750.0,1,99.98,100.005,-6.25,0,250.0,0.0,6.249999999997868
0,1,2,-1,750.0,0,100.0,100.0,-0.025,0,0.0,0.0,0.0
0,2,3,-1,0.0,4,99.96434666666669,100.0,-26.739999999990687,0,750.0,0.0,30.489999999982587
1,0,1,-1,0.0,4,99.96521000000003,100.005,-39.789999999979045,0,1000.0,0.0,39.78999999996802
2,0,1,-1,0.0,4,99.97137,100.0,-28.630000000004657,0,1000.0,0.0,28.630000000006817
3,0,1,-1,1000.0,0,100.0,100.0,0.0,0,0.0,0.0,0.0
3,1,2,-1,1000.0,0,100.0,100.0,-0.03333333333333333,0,0.0,0.0,0.0
3,2,3,-1,0.0,4,99.96943,100.0,-30.569999999992433,0,1000.0,0.0,30.56999999999732
4,0,1,-1,0.0,4,99.97761,100.005,-27.389999999999418,0,1000.0,0.0,27.389999999996917
5,0,1,-1,750.0,1,99.98,100.005,-6.25,0,250.0,0.0,6.249999999997868
5,1,2,-1,0.0,4,99.97616,100.005,-21.630000000004657,0,750.0,0.0,21.630000000001814
6,0,1,-1,0.0,4,99.96109,100.005,-43.91000000000349,0,1000.0,0.0,43.909999999996785
7,0,1,-1,1000.0,0,100.0,100.0,0.0,0,0.0,0.0,0.0
7,1,2,-1,1000.0,0,100.0,100.0,-0.03333333333333333,0,0.0,0.0,0.0
7,2,3,-1,750.0,1,99.97,100.0,-7.55,0,250.0,0.0,7.500000000000284
7,3,4,-1,562.0,1,99.95303191489363,99.995,-7.9461999999994175,0,188.0,0.0,8.829999999997824
7,4,5,-1,0.0,4,99.9197153024911,99.99000000000001,-39.500000000007276,0,562.0,0.0,45.12000000000242
8,0,1,-1,750.0,1,99.98,100.0,-5.0,0,250.0,0.0,4.999999999999005
8,1,2,-1,0.0,4,99.96649333333333,100.0,-25.130000000004657,0,750.0,0.0,25.130000000000763
9,0,1,-1,500.0,2,99.98,100.0,-10.0,0,500.0,0.0,9.99999999999801
9,1,2,-1,500.0,0,100.0,100.0,-0.016666666666666666,0,0.0,0.0,0.0
9,2,3,-1,0.0,4,99.97203999999999,100.0,-13.980000000003201,0,500.0,0.0,13.980000000003656
10,0,1,-1,0.0,4,99.96099000000001,100.0,-39.00999999999476,0,1000.0,0.0,39.00999999999044
11,0,1,-1,500.0,2,99.9795,100.005,-12.75,0,500.0,0.0,12.74999999999693
11,1,2,-1,125.0,3,99.96309333333335,100.0,-13.844166666663174,0,375.0,0.0,15.71499999999304
11,2,3,-1,94.0,1,99.97,100.0,-0.9362666666665029,0,31.0,0.0,1.0849999999998943
11,3,4,-1,70.0,1,99.96999999999998,100.0,-0.7270000000002547,0,24.0,0.0,0.8400000000002592
11,4,5,-1,35.0,2,99.97,100.0,-1.0546666666668485,0,35.0,0.0,1.2249999999998806
11,5,6,-1,17.0,2,99.97,100.0,-0.542833333333297,0,18.0,0.0,0.6299999999999386
11,6,7,-1,9.0,2,99.95,99.99000000000001,-0.32180000000005005,0,8.0,0.0,0.4399999999999409
11,7,8,-1,9.0,0,99.985,99.985,-0.0021,0,0.0,0.0,0.0
11,8,9,-1,2.0,3,99.93999999999998,99.97999999999999,-0.28053333333330605,0,7.0,0.0,0.45500000000008356
11,9,10,-1,1.0,2,99.93,99.975,-0.045299999999987496,0,1.0,0.0,0.07499999999998863
11,10,11,-1,0.0,3,99.9,99.96000000000001,-0.060000000000002274,0,1.0,0.0,0.10499999999998977
