episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-916.1087034050049,898.1485432487549,1,0.0,1.0,10,double_dqn,0
1,-1252.5333974239547,1252.056897423955,1,0.0,1.0,10,double_dqn,0
2,-1011.6957144374911,1011.0212144374909,1,0.0,1.0,8,double_dqn,0
3,-1903.1937718098977,1903.134438476564,1,0.0,1.0,7,double_dqn,0
4,-784.0523461123261,808.0049538597218,1,0.0,1.0,5,double_dqn,0
5,-932.7715223360208,932.5690223360208,1,0.0,1.0,6,double_dqn,0
6,-1669.5487773810305,1663.0480547247803,1,0.0,1.0,5,double_dqn,0
7,-652.3942552957599,662.1538208882077,1,0.0,1.0,11,double_dqn,0
8,-1657.8443973747376,1630.4550477653625,1,0.0,1.0,10,double_dqn,0
9,-1060.171062513401,1059.986062513401,1,0.0,1.0,5,double_dqn,0
10,-2192.1531421363866,2192.082642136387,1,0.0,1.0,11,double_dqn,0
11,-2190.6705860342936,2191.4138112947094,1,0.0,1.0,10,double_dqn,0
12,-2186.9729755432472,2189.906709104445,1,0.0,1.0,7,double_dqn,0
13,-2191.016823293852,2190.954823293852,1,0.0,1.0,8,double_dqn,0
14,-1157.2155639731523,1156.773563973152,1,0.0,1.0,9,double_dqn,0
15,-683.7846565032164,683.021823169883,1,0.0,1.0,6,double_dqn,0
16,-1438.2501970535245,1443.7447139806077,1,0.0,1.0,7,double_dqn,0
17,-1903.2449532961555,1902.327501473239,1,0.0,1.0,8,double_dqn,0
18,-1509.897948836442,1509.8579781333174,1,0.0,1.0,8,double_dqn,0
19,-1696.3608405569464,1696.1928405569465,1,0.0,1.0,6,double_dqn,0
20,-1110.6023919730183,1112.6981496227577,1,0.0,1.0,7,double_dqn,0
21,-1078.57819139279,1078.36669139279,1,0.0,1.0,9,double_dqn,0
22,-883.3375849700426,885.0988066497299,1,0.0,1.0,7,double_dqn,0
23,-964.9004849452515,947.1400409348348,1,0.0,1.0,7,double_dqn,0
24,-2509.6624755858556,2509.6624755858556,1,0.0,1.0,1,double_dqn,0
25,-988.2862616462854,987.6428983650352,1,0.0,1.0,16,double_dqn,0
26,-834.0877581637634,834.1217067314717,1,0.0,1.0,11,double_dqn,0
27,-2501.83746337882,2501.83746337882,1,0.0,1.0,1,double_dqn,0
28,-1601.6524681174367,1530.1508997580618,1,0.0,1.0,2,double_dqn,0
29,-1376.1193063045587,1373.9444269100275,1,0.0,1.0,3,double_dqn,0
30,-818.7385702584745,816.9758576933707,1,0.0,1.0,13,double_dqn,0
