episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-895.0506859563312,895.0506859563312,1,0.0,1.0,10,dqn,0
1,-1249.826554045581,1249.826554045581,1,0.0,1.0,10,dqn,0
2,-1010.292864667094,1010.292864667094,1,0.0,1.0,8,dqn,0
3,-1899.6779794759184,1899.6779794759184,1,0.0,1.0,7,dqn,0
4,-808.234397755949,808.234397755949,1,0.0,1.0,5,dqn,0
5,-930.8924432968366,930.8924432968366,1,0.0,1.0,6,dqn,0
6,-1660.033689836501,1660.033689836501,1,0.0,1.0,5,dqn,0
7,-657.6702492882113,657.6702492882113,1,0.0,1.0,11,dqn,0
8,-1626.4826836383372,1626.4826836383372,1,0.0,1.0,10,dqn,0
9,-1059.9834237902658,1059.9834237902658,1,0.0,1.0,5,dqn,0
10,-2188.1016272749193,2188.1016272749193,1,0.0,1.0,11,dqn,0
11,-2187.369026179296,2187.369026179296,1,0.0,1.0,10,dqn,0
12,-2188.1001290208487,2188.1001290208487,1,0.0,1.0,7,dqn,0
13,-2186.910607128187,2186.910607128187,1,0.0,1.0,8,dqn,0
14,-1166.1383889277454,1166.1383889277454,1,0.0,1.0,9,dqn,0
15,-681.8554777762492,681.8554777762492,1,0.0,1.0,6,dqn,0
16,-1433.6090266979297,1433.6090266979297,1,0.0,1.0,7,dqn,0
17,-1898.663121756709,1898.663121756709,1,0.0,1.0,8,dqn,0
18,-1509.8198028599136,1509.8198028599136,1,0.0,1.0,8,dqn,0
19,-1693.2589043069963,1693.2589043069963,1,0.0,1.0,6,dqn,0
20,-1113.283147213042,1113.283147213042,1,0.0,1.0,7,dqn,0
21,-1076.425827931899,1076.425827931899,1,0.0,1.0,9,dqn,0
22,-883.199478654081,883.199478654081,1,0.0,1.0,7,dqn,0
23,-947.8818749644765,947.8818749644765,1,0.0,1.0,7,dqn,0
24,-2509.6124267577125,2509.6124267577125,1,0.0,1.0,1,dqn,0
25,-983.4907306368439,983.4907306368439,1,0.0,1.0,16,dqn,0
26,-833.103504423445,833.103504423445,1,0.0,1.0,11,dqn,0
27,-2501.062469482349,2501.062469482349,1,0.0,1.0,1,dqn,0
28,-1512.9659971204394,1512.9659971204394,1,0.0,1.0,2,dqn,0
29,-1371.3020939030164,1371.3020939030164,1,0.0,1.0,3,dqn,0
30,-817.1025939382124,817.1025939382124,1,0.0,1.0,13,dqn,0
31,-689.8845325757275,689.8845325757275,1,0.0,1.0,16,dqn,0
32,-1399.452785456052,1399.452785456052,1,0.0,1.0,8,dqn,0
33,-1055.1320428542274,1055.1320428542274,1,0.0,1.0,13,dqn,0
34,-991.6925484849255,991.6925484849255,1,0.0,1.0,16,dqn,0
35,-1194.1751709267849,1194.1751709267849,1,0.0,1.0,7,dqn,0
36,-1642.3040299811032,1642.3040299811032,1,0.0,1.0,7,dqn,0
37,-1624.5744309569748,1624.5744309569748,1,0.0,1.0,11,dqn,0
38,-1466.9442708822241,1466.9442708822241,1,0.0,1.0,6,dqn,0
39,-1025.6662803112472,1025.6662803112472,1,0.0,1.0,3,dqn,0
40,-1896.1152569271628,1896.1152569271628,1,0.0,1.0,9,dqn,0
41,-605.941689563432,605.941689563432,1,0.0,1.0,5,dqn,0
42,-1530.1729862538873,1530.1729862538873,1,0.0,1.0,2,dqn,0
43,-1371.1672016835294,1371.1672016835294,1,0.0,1.0,5,dqn,0
44,-1301.826626261354,1301.826626261354,1,0.0,1.0,6,dqn,0
45,-907.8350700484087,907.8350700484087,1,0.0,1.0,10,dqn,0
46,-2510.087432861269,2510.087432861269,1,0.0,1.0,1,dqn,0
47,-1220.19105158709,1220.19105158709,1,0.0,1.0,12,dqn,0
48,-848.5887218200226,848.5887218200226,1,0.0,1.0,7,dqn,0
49,-990.3382325234941,990.3382325234941,1,0.0,1.0,4,dqn,0
50,-722.9770493607342,722.9770493607342,1,0.0,1.0,13,dqn,0
51,-505.81523500373686,505.81523500373686,1,0.0,1.0,14,dqn,0
52,-2187.6412317918243,2187.6412317918243,1,0.0,1.0,7,dqn,0
53,-1671.9017080569483,1671.9017080569483,1,0.0,1.0,5,dqn,0
54,-1054.0514140631199,1054.0514140631199,1,0.0,1.0,8,dqn,0
55,-1021.0129363437634,1021.0129363437634,1,0.0,1.0,11,dqn,0
56,-1230.6200017984559,1230.6200017984559,1,0.0,1.0,5,dqn,0
57,-997.0440500798117,997.0440500798117,1,0.0,1.0,12,dqn,0
58,-1646.2181853414588,1646.2181853414588,1,0.0,1.0,8,dqn,0
59,-1314.1830731709301,1314.1830731709301,1,0.0,1.0,2,dqn,0
60,-870.8144174766828,870.8144174766828,1,0.0,1.0,8,dqn,0
61,-739.4745924590845,739.4745924590845,1,0.0,1.0,13,dqn,0
62,-703.1336484373518,703.1336484373518,1,0.0,1.0,12,dqn,0
63,-2509.8374938963843,2509.8374938963843,1,0.0,1.0,1,dqn,0
64,-1705.5773102388293,1705.5773102388293,1,0.0,1.0,2,dqn,0
65,-913.088781505943,913.088781505943,1,0.0,1.0,7,dqn,0
66,-1061.1760735157625,1061.1760735157625,1,0.0,1.0,7,dqn,0
67,-1651.7218162283868,1651.7218162283868,1,0.0,1.0,6,dqn,0
68,-1166.8951313179962,1166.8951313179962,1,0.0,1.0,14,dqn,0
69,-1678.9119813598302,1678.9119813598302,1,0.0,1.0,10,dqn,0
70,-722.7517559667393,722.7517559667393,1,0.0,1.0,9,dqn,0
71,-2510.0375366209846,2510.0375366209846,1,0.0,1.0,1,dqn,0
72,-1117.4411786988048,1117.4411786988048,1,0.0,1.0,7,dqn,0
73,-1187.8521607751363,1187.8521607751363,1,0.0,1.0,10,dqn,0
74,-1187.7668715111101,1187.7668715111101,1,0.0,1.0,10,dqn,0
75,-1024.66117740358,1024.66117740358,1,0.0,1.0,3,dqn,0
76,-1138.3764521158337,1138.3764521158337,1,0.0,1.0,9,dqn,0
77,-1913.731014085169,1913.731014085169,1,0.0,1.0,4,dqn,0
78,-1183.700855236413,1183.700855236413,1,0.0,1.0,11,dqn,0
79,-1228.631037478588,1228.631037478588,1,0.0,1.0,6,dqn,0
80,-1374.7418091154063,1374.7418091154063,1,0.0,1.0,8,dqn,0
81,-1157.1238528591596,1157.1238528591596,1,0.0,1.0,6,dqn,0
82,-861.1077914439029,861.1077914439029,1,0.0,1.0,9,dqn,0
83,-943.3352755246112,943.3352755246112,1,0.0,1.0,11,dqn,0
84,-1919.128671435243,1919.128671435243,1,0.0,1.0,4,dqn,0
85,-937.2721066770845,937.2721066770845,1,0.0,1.0,10,dqn,0
86,-1534.2045394948557,1534.2045394948557,1,0.0,1.0,2,dqn,0
87,-1222.8028401358215,1222.8028401358215,1,0.0,1.0,9,dqn,0
88,-1508.6214692396106,1508.6214692396106,1,0.0,1.0,4,dqn,0
89,-1002.8600307315228,1002.8600307315228,1,0.0,1.0,12,dqn,0
90,-1458.1954665892465,1458.1954665892465,1,0.0,1.0,12,dqn,0
91,-1227.442298442882,1227.442298442882,1,0.0,1.0,5,dqn,0
92,-1651.5199605055784,1651.5199605055784,1,0.0,1.0,7,dqn,0
93,-962.3254673151957,962.3254673151957,1,0.0,1.0,3,dqn,0
94,-1313.7223798115865,1313.7223798115865,1,0.0,1.0,2,dqn,0
95,-1003.206077239601,1003.206077239601,1,0.0,1.0,10,dqn,0
96,-1039.8424782981092,1039.8424782981092,1,0.0,1.0,3,dqn,0
97,-906.0898802932402,906.0898802932402,1,0.0,1.0,9,dqn,0
98,-1624.0388914649945,1624.0388914649945,1,0.0,1.0,7,dqn,0
99,-857.1164404823754,857.1164404823754,1,0.0,1.0,9,dqn,0
100,-1687.4698780478827,1687.4698780478827,1,0.0,1.0,5,dqn,0
101,-1700.5242781311786,1700.5242781311786,1,0.0,1.0,2,dqn,0
102,-1030.9534333304948,1030.9534333304948,1,0.0,1.0,3,dqn,0
103,-929.4106379993623,929.4106379993623,1,0.0,1.0,11,dqn,0
104,-1509.1106858578596,1509.1106858578596,1,0.0,1.0,7,dqn,0
105,-1478.7005713194092,1478.7005713194092,1,0.0,1.0,9,dqn,0
106,-1887.974604756143,1887.974604756143,1,0.0,1.0,5,dqn,0
107,-866.503864203158,866.503864203158,1,0.0,1.0,8,dqn,0
108,-1337.1209456722527,1337.1209456722527,1,0.0,1.0,8,dqn,0
109,-1096.3335414646317,1096.3335414646317,1,0.0,1.0,9,dqn,0
110,-2500.162506103493,2500.162506103493,1,0.0,1.0,1,dqn,0
111,-1022.0336037026924,1022.0336037026924,1,0.0,1.0,4,dqn,0
112,-1923.2766804001117,1923.2766804001117,1,0.0,1.0,2,dqn,0
113,-1020.6909217383535,1020.6909217383535,1,0.0,1.0,7,dqn,0
114,-746.5256877925195,746.5256877925195,1,0.0,1.0,11,dqn,0
115,-1041.6370439447699,1041.6370439447699,1,0.0,1.0,11,dqn,0
116,-700.861511234626,700.861511234626,1,0.0,1.0,10,dqn,0
117,-1276.5836056775938,1276.5836056775938,1,0.0,1.0,7,dqn,0
118,-935.7897519479258,935.7897519479258,1,0.0,1.0,8,dqn,0
119,-2183.975917851902,2183.975917851902,1,0.0,1.0,4,dqn,0
120,-950.327436969695,950.327436969695,1,0.0,1.0,11,dqn,0
121,-809.8981865317479,809.8981865317479,1,0.0,1.0,10,dqn,0
122,-1647.2944225979363,1647.2944225979363,1,0.0,1.0,8,dqn,0
123,-1278.3597446615104,1278.3597446615104,1,0.0,1.0,9,dqn,0
124,-989.1717693628452,989.1717693628452,1,0.0,1.0,8,dqn,0
125,-581.5073425039384,581.5073425039384,1,0.0,1.0,12,dqn,0
126,-772.1874909726681,772.1874909726681,1,0.0,1.0,11,dqn,0
127,-1896.553890836557,1896.553890836557,1,0.0,1.0,8,dqn,0
128,-904.5905336216039,904.5905336216039,1,0.0,1.0,8,dqn,0
129,-1405.903510017312,1405.903510017312,1,0.0,1.0,8,dqn,0
130,-751.6263969815108,751.6263969815108,1,0.0,1.0,10,dqn,0
131,-970.7380000428557,970.7380000428557,1,152.5090576171875,0.9997625,10,dqn,0
132,-1896.9388417917257,1896.9388417917257,1,173.35599517822266,0.9993825,8,dqn,0
133,-917.3733936391002,917.3733936391002,1,161.16162745157877,0.9990975,6,dqn,0
134,-753.5457893551715,753.5457893551715,1,135.61694759792752,0.99867,9,dqn,0
135,-1210.9961805487749,1210.9961805487749,1,176.3769953409831,0.9979575,15,dqn,0
136,-1485.2399057590294,1485.2399057590294,1,157.43984985351562,0.9973875,12,dqn,0
137,-1887.5167987378277,1887.5167987378277,1,222.9250005086263,0.9971025,6,dqn,0
138,-1150.365509319509,1150.365509319509,1,230.46588643391928,0.99696,3,dqn,0
139,-1231.0865043897336,1231.0865043897336,1,183.82107870919364,0.9966275,7,dqn,0
140,-753.2346056573796,753.2346056573796,1,172.95115509033204,0.99639,5,dqn,0
141,-1388.3881583541602,1388.3881583541602,1,146.33221435546875,0.99601,8,dqn,0
142,-2180.623991975854,2180.623991975854,1,172.44988686697823,0.9956775,7,dqn,0
143,-857.3555877442399,857.3555877442399,1,176.73939641316733,0.9951075,12,dqn,0
144,-714.9466364582715,714.9466364582715,1,170.59398651123047,0.994585,11,dqn,0
145,-2509.937438964812,2509.937438964812,1,170.01882934570312,0.9945375,1,dqn,0
146,-1894.2164300205052,1894.2164300205052,1,162.60537974039713,0.9942525,6,dqn,0
147,-1897.525257453841,1897.525257453841,1,174.64568074544272,0.99411,3,dqn,0
148,-762.5761097654744,762.5761097654744,1,109.77278709411621,0.993825,6,dqn,0
149,-848.9499916306369,848.9499916306369,1,173.2688446044922,0.99335,10,dqn,0
150,-1673.4216771316937,1673.4216771316937,1,145.1538070678711,0.9931125,5,dqn,0
151,-1127.5873369748074,1127.5873369748074,1,191.05827560424805,0.9926375,10,dqn,0
152,-1688.3751213623482,1688.3751213623482,1,140.9036627875434,0.99221,9,dqn,0
153,-2501.062469482349,2501.062469482349,1,89.07462310791016,0.9921625,1,dqn,0
154,-692.5427734465878,692.5427734465878,1,166.9161804199219,0.9916875,10,dqn,0
155,-1211.561794210733,1211.561794210733,1,172.33337571885852,0.99126,9,dqn,0
156,-997.9855720312602,997.9855720312602,1,157.69293741079477,0.9906425,13,dqn,0
157,-1897.2355495104744,1897.2355495104744,1,197.3124553135463,0.99031,7,dqn,0
158,-1693.169654041686,1693.169654041686,1,144.10577283586775,0.9899775,7,dqn,0
159,-751.9125201142315,751.9125201142315,1,164.42011097499304,0.9893125,14,dqn,0
160,-1149.456289919114,1149.456289919114,1,114.55913204616971,0.988885,9,dqn,0
161,-808.2173717575814,808.2173717575814,1,136.39789090837752,0.98822,14,dqn,0
162,-1405.9285238707755,1405.9285238707755,1,105.78809204101563,0.9879825,5,dqn,0
163,-2194.0139927924074,2194.0139927924074,1,130.01558685302734,0.9877925,4,dqn,0
164,-1925.7005289512665,1925.7005289512665,1,183.68934631347656,0.9876975,2,dqn,0
165,-1003.078182155208,1003.078182155208,1,151.40603637695312,0.9875075,4,dqn,0
166,-576.063241963026,576.063241963026,1,137.11193084716797,0.98708,9,dqn,0
167,-678.5313863958326,678.5313863958326,1,149.77178602952225,0.9864625,13,dqn,0
168,-669.2714554313969,669.2714554313969,1,104.88684463500977,0.9861775,6,dqn,0
169,-905.5961603140847,905.5961603140847,1,119.64677429199219,0.98594,5,dqn,0
170,-1668.6283337276423,1668.6283337276423,1,139.08069896697998,0.98556,8,dqn,0
171,-1341.632990072981,1341.632990072981,1,161.14501953125,0.985465,2,dqn,0
172,-895.7295012259757,895.7295012259757,1,118.22731018066406,0.9847525,15,dqn,0
173,-1191.7905615189657,1191.7905615189657,1,117.9162244796753,0.9843725,8,dqn,0
174,-1003.2841817670139,1003.2841817670139,1,83.33270835876465,0.9841825,4,dqn,0
175,-1236.9761110584907,1236.9761110584907,1,98.69515228271484,0.9838025,8,dqn,0
176,-1007.273856014874,1007.273856014874,1,116.39268430074056,0.9832325,12,dqn,0
177,-1898.4611057308089,1898.4611057308089,1,106.38088062831334,0.9829,7,dqn,0
178,-1370.7077392488848,1370.7077392488848,1,104.0518798828125,0.9823775,11,dqn,0
179,-1230.068353840757,1230.068353840757,1,90.85548496246338,0.9819975,8,dqn,0
180,-2189.651719602353,2189.651719602353,1,107.06935548782349,0.9816175,8,dqn,0
181,-2184.512077712028,2184.512077712028,1,117.13680485316685,0.981285,7,dqn,0
182,-1624.295752296518,1624.295752296518,1,78.78435446999289,0.9807625,11,dqn,0
183,-1663.4941395682395,1663.4941395682395,1,67.71695963541667,0.9804775,6,dqn,0
184,-1113.3967557344658,1113.3967557344658,1,88.96376037597656,0.980335,3,dqn,0
185,-1536.3260473715864,1536.3260473715864,1,103.8025894165039,0.9801925,3,dqn,0
186,-827.2462741106575,827.2462741106575,1,78.97756614685059,0.9797175,10,dqn,0
187,-1330.102411397284,1330.102411397284,1,91.5954818725586,0.9796225,2,dqn,0
188,-923.2522323031443,923.2522323031443,1,55.57917388280233,0.9790525,12,dqn,0
189,-2180.2773922516494,2180.2773922516494,1,82.59593527657645,0.97872,7,dqn,0
190,-1647.8318938262723,1647.8318938262723,1,51.50058441162109,0.9784825,5,dqn,0
191,-697.4374207964436,697.4374207964436,1,70.62923414056951,0.97796,11,dqn,0
192,-2507.0875549315588,2507.0875549315588,1,72.9022445678711,0.9779125,1,dqn,0
193,-1086.198528829667,1086.198528829667,1,63.182438373565674,0.9775325,8,dqn,0
194,-728.4979623504166,728.4979623504166,1,61.973539179021664,0.97701,11,dqn,0
195,-2498.7625122070085,2498.7625122070085,1,91.85065460205078,0.9769625,1,dqn,0
196,-1189.872321005382,1189.872321005382,1,64.1248406630296,0.976345,13,dqn,0
197,-842.5219338392142,842.5219338392142,1,74.81176161766052,0.975965,8,dqn,0
198,-1341.6547909101466,1341.6547909101466,1,45.57672929763794,0.9757750000000001,4,dqn,0
199,-1632.8681274209207,1632.8681274209207,1,61.731601079305015,0.97549,6,dqn,0
200,-1195.059999783736,1195.059999783736,1,56.819714307785034,0.97511,8,dqn,0
201,-1896.319872399925,1896.319872399925,1,45.996736254010884,0.9747775,7,dqn,0
202,-1168.7565855828268,1168.7565855828268,1,45.22309455871582,0.97454,5,dqn,0
203,-2503.462524413976,2503.462524413976,1,44.625709533691406,0.9744925,1,dqn,0
204,-2180.347362952396,2180.347362952396,1,48.263678550720215,0.974255,5,dqn,0
205,-1662.0853064106418,1662.0853064106418,1,66.67018508911133,0.9740175,5,dqn,0
206,-2179.158421899996,2179.158421899996,1,41.95332988103231,0.9737325,6,dqn,0
207,-2498.987426757708,2498.987426757708,1,50.409000396728516,0.973685,1,dqn,0
208,-1227.4128059980776,1227.4128059980776,1,49.96942985057831,0.973305,8,dqn,0
209,-1894.3262798964342,1894.3262798964342,1,47.150991439819336,0.9730675,5,dqn,0
210,-1048.3228967377684,1048.3228967377684,1,46.017045974731445,0.9726875,8,dqn,0
211,-1037.8891497708191,1037.8891497708191,1,58.751346588134766,0.972355,7,dqn,0
212,-2183.4323750687754,2183.4323750687754,1,53.121140820639475,0.9720225,7,dqn,0
213,-791.1836195948229,791.1836195948229,1,40.64335854848226,0.9717375,6,dqn,0
214,-2180.991581244308,2180.991581244308,1,58.19291648864746,0.9715,5,dqn,0
215,-2185.9076531393107,2185.9076531393107,1,55.76637306213379,0.9712625,5,dqn,0
216,-1888.124740930988,1888.124740930988,1,33.69183235168457,0.9707875,10,dqn,0
217,-1284.451542782114,1284.451542782114,1,22.068156878153484,0.970645,3,dqn,0
218,-2510.5375671386128,2510.5375671386128,1,30.392898559570312,0.9705975,1,dqn,0
219,-1913.6782323537336,1913.6782323537336,1,39.24776744842529,0.9703125,6,dqn,0
220,-1883.8173137248214,1883.8173137248214,1,52.02567984841087,0.96979,11,dqn,0
221,-937.985558896545,937.985558896545,1,38.21712436676025,0.969315,10,dqn,0
222,-768.9851241632651,768.9851241632651,1,38.729131910536026,0.9688875,9,dqn,0
223,-1270.7815798602937,1270.7815798602937,1,36.42101631164551,0.96865,5,dqn,0
224,-1051.2844231785202,1051.2844231785202,1,39.890920877456665,0.96827,8,dqn,0
225,-1908.878834625883,1908.878834625883,1,27.542949358622234,0.9681275,3,dqn,0
226,-2186.036303314643,2186.036303314643,1,30.37712914603097,0.967795,7,dqn,0
227,-647.8709796684608,647.8709796684608,1,29.807993742135857,0.9671775,13,dqn,0
228,-844.8948202835905,844.8948202835905,1,32.84951238632202,0.9667025,10,dqn,0
229,-1407.8715424674494,1407.8715424674494,1,31.767099804348415,0.966275,9,dqn,0
230,-848.6887618121715,848.6887618121715,1,20.91148488862174,0.9659425,7,dqn,0
231,-936.4625364519068,936.4625364519068,1,21.15707197189331,0.9654675,10,dqn,0
232,-2194.078648693777,2194.078648693777,1,22.824279308319092,0.9651825,6,dqn,0
233,-927.1643205981179,927.1643205981179,1,24.33755499124527,0.9648025,8,dqn,0
234,-978.9801414478952,978.9801414478952,1,23.32826390862465,0.9644225,8,dqn,0
235,-1707.9169913040807,1707.9169913040807,1,15.184972922007242,0.96428,3,dqn,0
236,-1645.7424754191995,1645.7424754191995,1,14.702257871627808,0.963805,10,dqn,0
237,-1131.3305211485228,1131.3305211485228,1,16.06459175215827,0.9633775,9,dqn,0
238,-1639.5732553698217,1639.5732553698217,1,18.54938507080078,0.9630925,6,dqn,0
239,-765.5173850265663,765.5173850265663,1,16.1590869029363,0.9625225,12,dqn,0
240,-1228.7388925668756,1228.7388925668756,1,21.697826623916626,0.9623325,4,dqn,0
241,-1249.2576095800437,1249.2576095800437,1,14.260613701560281,0.96181,11,dqn,0
242,-2189.658504638412,2189.658504638412,1,13.233076286315917,0.9615725,5,dqn,0
243,-1232.740498466447,1232.740498466447,1,14.980166733264923,0.9611925,8,dqn,0
244,-1416.6055625538436,1416.6055625538436,1,12.534846578325544,0.96086,7,dqn,0
