episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-916.1087034050049,916.1087034050049,1,0.0,1.0,10,dqn,0
1,-1252.5333974239547,1252.5333974239547,1,0.0,1.0,10,dqn,0
2,-1011.6957144374911,1011.6957144374911,1,0.0,1.0,8,dqn,0
3,-1903.1937718098977,1903.1937718098977,1,0.0,1.0,7,dqn,0
4,-784.0523461123261,784.0523461123261,1,0.0,1.0,5,dqn,0
5,-932.7715223360208,932.7715223360208,1,0.0,1.0,6,dqn,0
6,-1669.5487773810305,1669.5487773810305,1,0.0,1.0,5,dqn,0
7,-652.3942552957599,652.3942552957599,1,0.0,1.0,11,dqn,0
8,-1657.8443973747376,1657.8443973747376,1,0.0,1.0,10,dqn,0
9,-1060.171062513401,1060.171062513401,1,0.0,1.0,5,dqn,0
10,-2192.1531421363866,2192.1531421363866,1,0.0,1.0,11,dqn,0
11,-2190.6705860342936,2190.6705860342936,1,0.0,1.0,10,dqn,0
12,-2186.9729755432472,2186.9729755432472,1,0.0,1.0,7,dqn,0
13,-2191.016823293852,2191.016823293852,1,0.0,1.0,8,dqn,0
14,-1157.2155639731523,1157.2155639731523,1,0.0,1.0,9,dqn,0
15,-683.7846565032164,683.7846565032164,1,0.0,1.0,6,dqn,0
16,-1438.2501970535245,1438.2501970535245,1,0.0,1.0,7,dqn,0
17,-1903.2449532961555,1903.2449532961555,1,0.0,1.0,8,dqn,0
18,-1509.897948836442,1509.897948836442,1,0.0,1.0,8,dqn,0
19,-1696.3608405569464,1696.3608405569464,1,0.0,1.0,6,dqn,0
20,-1110.6023919730183,1110.6023919730183,1,0.0,1.0,7,dqn,0
21,-1078.57819139279,1078.57819139279,1,0.0,1.0,9,dqn,0
22,-883.3375849700426,883.3375849700426,1,0.0,1.0,7,dqn,0
23,-964.9004849452515,964.9004849452515,1,0.0,1.0,7,dqn,0
24,-2509.6624755858556,2509.6624755858556,1,0.0,1.0,1,dqn,0
25,-988.2862616462854,988.2862616462854,1,0.0,1.0,16,dqn,0
26,-834.0877581637634,834.0877581637634,1,0.0,1.0,11,dqn,0
27,-2501.83746337882,2501.83746337882,1,0.0,1.0,1,dqn,0
28,-1601.6524681174367,1601.6524681174367,1,0.0,1.0,2,dqn,0
29,-1376.1193063045587,1376.1193063045587,1,0.0,1.0,3,dqn,0
30,-818.7385702584745,818.7385702584745,1,0.0,1.0,13,dqn,0
31,-679.0326950450124,679.0326950450124,1,0.0,1.0,16,dqn,0
32,-1421.7637451508238,1421.7637451508238,1,0.0,1.0,8,dqn,0
33,-1061.2996573199298,1061.2996573199298,1,0.0,1.0,13,dqn,0
34,-995.7042373105155,995.7042373105155,1,0.0,1.0,16,dqn,0
35,-1189.9911391737155,1189.9911391737155,1,0.0,1.0,7,dqn,0
36,-1642.4735027429342,1642.4735027429342,1,0.0,1.0,7,dqn,0
37,-1627.9016950675461,1627.9016950675461,1,0.0,1.0,11,dqn,0
38,-1469.9053383735672,1469.9053383735672,1,0.0,1.0,6,dqn,0
39,-1025.8577636762423,1025.8577636762423,1,0.0,1.0,3,dqn,0
40,-1897.300953350091,1897.300953350091,1,0.0,1.0,9,dqn,0
41,-601.230912152624,601.230912152624,1,0.0,1.0,5,dqn,0
42,-1531.519407628409,1531.519407628409,1,0.0,1.0,2,dqn,0
43,-1375.771118250214,1375.771118250214,1,0.0,1.0,5,dqn,0
44,-1304.395729568048,1304.395729568048,1,0.0,1.0,6,dqn,0
45,-928.8001032356203,928.8001032356203,1,0.0,1.0,10,dqn,0
46,-2514.662475585851,2514.662475585851,1,0.0,1.0,1,dqn,0
47,-1235.7034587194858,1235.7034587194858,1,0.0,1.0,12,dqn,0
48,-885.6760968412678,885.6760968412678,1,0.0,1.0,7,dqn,0
49,-992.3735613147361,992.3735613147361,1,0.0,1.0,4,dqn,0
50,-784.4610609793252,784.4610609793252,1,0.0,1.0,13,dqn,0
51,-506.90481328304884,506.90481328304884,1,0.0,1.0,14,dqn,0
52,-2190.6269828953773,2190.6269828953773,1,0.0,1.0,7,dqn,0
53,-1667.912707592708,1667.912707592708,1,0.0,1.0,5,dqn,0
54,-1055.2436558541842,1055.2436558541842,1,0.0,1.0,8,dqn,0
55,-1022.5002822930205,1022.5002822930205,1,0.0,1.0,11,dqn,0
56,-1231.7283633120162,1231.7283633120162,1,0.0,1.0,5,dqn,0
57,-997.5738257554951,997.5738257554951,1,0.0,1.0,12,dqn,0
58,-1659.0550504351488,1659.0550504351488,1,0.0,1.0,8,dqn,0
59,-1351.4592793782585,1351.4592793782585,1,0.0,1.0,2,dqn,0
60,-873.6179745737267,873.6179745737267,1,0.0,1.0,8,dqn,0
61,-738.0787404852676,738.0787404852676,1,0.0,1.0,13,dqn,0
62,-695.0712044406392,695.0712044406392,1,0.0,1.0,12,dqn,0
63,-2514.41253662108,2514.41253662108,1,0.0,1.0,1,dqn,0
64,-1747.6314997410786,1747.6314997410786,1,0.0,1.0,2,dqn,0
65,-946.0333034479335,946.0333034479335,1,0.0,1.0,7,dqn,0
66,-1063.564681916259,1063.564681916259,1,0.0,1.0,7,dqn,0
67,-1664.5309990681349,1664.5309990681349,1,0.0,1.0,6,dqn,0
68,-1170.5020301261288,1170.5020301261288,1,0.0,1.0,14,dqn,0
69,-1665.1134414736553,1665.1134414736553,1,0.0,1.0,10,dqn,0
70,-731.9068763070776,731.9068763070776,1,0.0,1.0,9,dqn,0
71,-2514.612426757708,2514.612426757708,1,0.0,1.0,1,dqn,0
72,-1123.4436900477124,1123.4436900477124,1,0.0,1.0,7,dqn,0
73,-1193.8875569086897,1193.8875569086897,1,0.0,1.0,10,dqn,0
74,-1202.4270537650066,1202.4270537650066,1,0.0,1.0,10,dqn,0
75,-1026.75722137527,1026.75722137527,1,0.0,1.0,3,dqn,0
76,-1140.3705404087725,1140.3705404087725,1,0.0,1.0,9,dqn,0
77,-1917.3390885442877,1917.3390885442877,1,0.0,1.0,4,dqn,0
78,-1186.3647259766865,1186.3647259766865,1,0.0,1.0,11,dqn,0
79,-1235.0608697953596,1235.0608697953596,1,0.0,1.0,6,dqn,0
80,-1377.322575317265,1377.322575317265,1,0.0,1.0,8,dqn,0
81,-1157.1866783728674,1157.1866783728674,1,0.0,1.0,6,dqn,0
82,-863.000878943896,863.000878943896,1,0.0,1.0,9,dqn,0
83,-945.4720270993993,945.4720270993993,1,0.0,1.0,11,dqn,0
84,-1922.6527932234121,1922.6527932234121,1,0.0,1.0,4,dqn,0
85,-938.5135029616332,938.5135029616332,1,0.0,1.0,10,dqn,0
86,-1546.854055677366,1546.854055677366,1,0.0,1.0,2,dqn,0
87,-1227.8114150368967,1227.8114150368967,1,0.0,1.0,9,dqn,0
88,-1509.6326115358213,1509.6326115358213,1,0.0,1.0,4,dqn,0
89,-1004.9668723270958,1004.9668723270958,1,0.0,1.0,12,dqn,0
90,-1456.2383860541522,1456.2383860541522,1,0.0,1.0,12,dqn,0
91,-1226.1217855153654,1226.1217855153654,1,0.0,1.0,5,dqn,0
92,-1658.0441862885739,1658.0441862885739,1,0.0,1.0,7,dqn,0
93,-964.2448610520937,964.2448610520937,1,0.0,1.0,3,dqn,0
94,-1326.091275533071,1326.091275533071,1,0.0,1.0,2,dqn,0
95,-1004.6205460133871,1004.6205460133871,1,0.0,1.0,10,dqn,0
96,-1042.1135338669385,1042.1135338669385,1,0.0,1.0,3,dqn,0
97,-908.2921471906695,908.2921471906695,1,0.0,1.0,9,dqn,0
98,-1629.2102402548537,1629.2102402548537,1,0.0,1.0,7,dqn,0
99,-857.5037330080106,857.5037330080106,1,0.0,1.0,9,dqn,0
100,-1690.5516242687954,1690.5516242687954,1,0.0,1.0,5,dqn,0
101,-1701.6475376353233,1701.6475376353233,1,0.0,1.0,2,dqn,0
102,-1031.1967527370057,1031.1967527370057,1,0.0,1.0,3,dqn,0
103,-912.7353641207544,912.7353641207544,1,0.0,1.0,11,dqn,0
104,-1510.0692009018107,1510.0692009018107,1,0.0,1.0,7,dqn,0
105,-1489.3351279261844,1489.3351279261844,1,0.0,1.0,9,dqn,0
106,-1886.5439660364023,1886.5439660364023,1,0.0,1.0,5,dqn,0
107,-863.1557586057482,863.1557586057482,1,0.0,1.0,8,dqn,0
108,-1339.8412001412964,1339.8412001412964,1,0.0,1.0,8,dqn,0
109,-1085.1204896296974,1085.1204896296974,1,0.0,1.0,9,dqn,0
110,-2499.262542724523,2499.262542724523,1,0.0,1.0,1,dqn,0
111,-1024.3621476743824,1024.3621476743824,1,0.0,1.0,4,dqn,0
112,-1924.9779083021301,1924.9779083021301,1,0.0,1.0,2,dqn,0
113,-1015.9215934813307,1015.9215934813307,1,0.0,1.0,7,dqn,0
114,-748.5581442395817,748.5581442395817,1,0.0,1.0,11,dqn,0
115,-1073.6265922425755,1073.6265922425755,1,0.0,1.0,11,dqn,0
116,-706.1629271487701,706.1629271487701,1,0.0,1.0,10,dqn,0
117,-1278.0433815769459,1278.0433815769459,1,0.0,1.0,7,dqn,0
118,-932.9205084523239,932.9205084523239,1,0.0,1.0,8,dqn,0
119,-2182.8584602993474,2182.8584602993474,1,0.0,1.0,4,dqn,0
120,-952.1037460429071,952.1037460429071,1,0.0,1.0,11,dqn,0
121,-811.7021001445808,811.7021001445808,1,0.0,1.0,10,dqn,0
122,-1647.476525578459,1647.476525578459,1,0.0,1.0,8,dqn,0
123,-1281.0239169172646,1281.0239169172646,1,0.0,1.0,9,dqn,0
124,-990.1826889864723,990.1826889864723,1,0.0,1.0,8,dqn,0
125,-583.5895053771296,583.5895053771296,1,0.0,1.0,12,dqn,0
126,-773.0165386444795,773.0165386444795,1,0.0,1.0,11,dqn,0
127,-1900.1063960669671,1900.1063960669671,1,0.0,1.0,8,dqn,0
128,-908.9594364560546,908.9594364560546,1,0.0,1.0,8,dqn,0
129,-1411.3054498132597,1411.3054498132597,1,0.0,1.0,8,dqn,0
130,-757.7517573386483,757.7517573386483,1,0.0,1.0,10,dqn,0
131,-972.7031385590717,972.7031385590717,1,153.72850646972657,0.9997625,10,dqn,0
132,-1898.5196737248664,1898.5196737248664,1,173.9964370727539,0.9993825,8,dqn,0
133,-919.6161401871555,919.6161401871555,1,161.6961212158203,0.9990975,6,dqn,0
134,-755.444920647738,755.444920647738,1,136.32645755343967,0.99867,9,dqn,0
135,-1222.1635297909042,1222.1635297909042,1,176.8334925333659,0.9979575,15,dqn,0
136,-1488.7226057981927,1488.7226057981927,1,157.80168215433756,0.9973875,12,dqn,0
137,-1881.7951235885334,1881.7951235885334,1,223.86717478434244,0.9971025,6,dqn,0
138,-1150.6322722706147,1150.6322722706147,1,231.21709696451822,0.99696,3,dqn,0
139,-1244.482588936693,1244.482588936693,1,184.52653176443917,0.9966275,7,dqn,0
140,-762.9005139719659,762.9005139719659,1,173.41423645019532,0.99639,5,dqn,0
141,-1388.509583632416,1388.509583632416,1,146.86005878448486,0.99601,8,dqn,0
142,-2180.0607830328113,2180.0607830328113,1,172.58051191057478,0.9956775,7,dqn,0
143,-857.7649346631227,857.7649346631227,1,177.1471036275228,0.9951075,12,dqn,0
144,-717.4250373960223,717.4250373960223,1,171.02293395996094,0.994585,11,dqn,0
