episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-1608.533324533209,1608.533324533209,1,0.0,1.0,3,dqn,0
1,-2514.562530517537,2514.562530517537,1,0.0,1.0,1,dqn,0
2,-2508.8374328612417,2508.8374328612417,1,0.0,1.0,1,dqn,0
3,-2515.962839300338,2515.962839300338,1,0.0,1.0,3,dqn,0
4,-2500.5624389648347,2500.5624389648347,1,0.0,1.0,1,dqn,0
5,-1619.1431870351555,1619.1431870351555,1,0.0,1.0,2,dqn,0
6,-2515.025024414058,2515.025024414058,1,0.0,1.0,1,dqn,0
7,-1103.3916244009197,1103.3916244009197,1,0.0,1.0,5,dqn,0
8,-1619.2693099497308,1619.2693099497308,1,0.0,1.0,2,dqn,0
9,-1317.5527516539476,1317.5527516539476,1,0.0,1.0,3,dqn,0
10,-2514.587554931609,2514.587554931609,1,0.0,1.0,1,dqn,0
11,-1067.8634102947271,1067.8634102947271,1,0.0,1.0,11,dqn,0
12,-2511.188422755413,2511.188422755413,1,0.0,1.0,2,dqn,0
13,-1021.7120582522541,1021.7120582522541,1,0.0,1.0,3,dqn,0
14,-954.0752941004644,954.0752941004644,1,0.0,1.0,9,dqn,0
15,-962.7749697677834,962.7749697677834,1,0.0,1.0,10,dqn,0
16,-826.7508187768221,826.7508187768221,1,0.0,1.0,4,dqn,0
17,-1093.5609786956982,1093.5609786956982,1,0.0,1.0,3,dqn,0
18,-1615.5195831237863,1615.5195831237863,1,0.0,1.0,2,dqn,0
19,-2514.8662679229014,2514.8662679229014,1,0.0,1.0,2,dqn,0
20,-1552.343145016241,1552.343145016241,1,0.0,1.0,7,dqn,0
21,-2514.8580292615916,2514.8580292615916,1,0.0,1.0,2,dqn,0
22,-640.6904256999666,640.6904256999666,1,0.0,1.0,12,dqn,0
23,-2501.6375732420784,2501.6375732420784,1,0.0,1.0,1,dqn,0
24,-2509.637451171784,2509.637451171784,1,0.0,1.0,1,dqn,0
25,-970.6401342525166,970.6401342525166,1,0.0,1.0,5,dqn,0
26,-803.6782911002016,803.6782911002016,1,0.0,1.0,14,dqn,0
27,-2500.225067138672,2500.225067138672,1,0.0,1.0,1,dqn,0
28,-1507.736087711858,1507.736087711858,1,0.0,1.0,14,dqn,0
29,-1316.761386985782,1316.761386985782,1,0.0,1.0,2,dqn,0
30,-501.69831021830345,501.69831021830345,1,0.0,1.0,12,dqn,0
31,-2500.987548828107,2500.987548828107,1,0.0,1.0,1,dqn,0
32,-2516.312561035079,2516.312561035079,1,0.0,1.0,1,dqn,0
33,-658.5734788211856,658.5734788211856,1,0.0,1.0,8,dqn,0
34,-1320.3358576518654,1320.3358576518654,1,0.0,1.0,5,dqn,0
35,-2502.612618226302,2502.612618226302,1,0.0,1.0,2,dqn,0
36,-2509.53750610347,2509.53750610347,1,0.0,1.0,1,dqn,0
37,-1320.2045400629313,1320.2045400629313,1,0.0,1.0,2,dqn,0
38,-2515.924987792914,2515.924987792914,1,0.0,1.0,1,dqn,0
39,-2509.53750610347,2509.53750610347,1,0.0,1.0,1,dqn,0
40,-890.2550867840703,890.2550867840703,1,0.0,1.0,13,dqn,0
41,-1073.5139669697196,1073.5139669697196,1,0.0,1.0,9,dqn,0
42,-2497.57507324216,2497.57507324216,1,0.0,1.0,1,dqn,0
43,-698.7872966949869,698.7872966949869,1,0.0,1.0,8,dqn,0
44,-2508.2624816893713,2508.2624816893713,1,0.0,1.0,1,dqn,0
45,-871.6600562604297,871.6600562604297,1,0.0,1.0,17,dqn,0
46,-1098.2000268949141,1098.2000268949141,1,0.0,1.0,5,dqn,0
47,-828.4948219503266,828.4948219503266,1,0.0,1.0,5,dqn,0
48,-1515.9072153654029,1515.9072153654029,1,0.0,1.0,13,dqn,0
49,-1316.0988548834207,1316.0988548834207,1,0.0,1.0,2,dqn,0
