episode,step,t,timestamp_ns,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,1577876225595626446,750.0,1,1005.6360990142822,1006.2650146484375,-157.22890853882632,0,250.0,0.0,157.22890853882632
0,1,2,1577876225598625273,750.0,0,1006.2650146484375,1006.2650146484375,-0.15351768842118835,0,0.0,0.0,0.15351768842118835
0,2,3,1577876225669462000,0.0,4,1004.3303617401123,1006.280029296875,-1451.1508983059614,0,750.0,0.0,1451.1508983059614
1,0,1,1577875020887963633,0.0,4,1003.3104496765137,1005.8250122070312,-2514.562530517537,0,1000.0,0.0,2514.562530517537
2,0,1,1577873388028164338,0.0,4,1001.02613571167,1003.5349731445312,-2508.8374328612417,0,1000.0,0.0,2508.8374328612417
3,0,1,1577875328083503335,1000.0,0,1005.875,1005.875,0.0,0,0.0,0.0,-0.0
3,1,2,1577875328332339299,1000.0,0,1005.875,1005.875,-0.0002842461240493144,0,0.0,0.0,0.0002842461240493144
3,2,3,1577875328337246566,0.0,4,1003.3603125000001,1005.875,-2515.962555054214,0,1000.0,0.0,2515.962555054214
4,0,1,1577871585488995694,0.0,4,997.7244131469727,1000.2249755859375,-2500.5624389648347,0,1000.0,0.0,2500.5624389648347
5,0,1,1577874469933333348,750.0,1,1005.1064009857178,1005.7349853515625,-157.1460914611862,0,250.0,0.0,157.1460914611862
5,1,2,1577874469937342907,0.0,4,1003.7863738174439,1005.7349853515625,-1461.9970955739693,0,750.0,0.0,1461.9970955739693
6,0,1,1577875934071021013,0.0,4,1003.4949847412109,1006.010009765625,-2515.025024414058,0,1000.0,0.0,2515.025024414058
7,0,1,1577871695480271569,1000.0,0,999.7949829101562,999.7949829101562,0.0,0,0.0,0.0,-0.0
7,1,2,1577871695486793658,1000.0,0,999.7949829101562,999.7949829101562,-0.22055955357835333,0,0.0,0.0,0.22055955357835333
7,2,3,1577871695668855033,750.0,1,999.1701110458374,999.7949829101562,-156.46404106551643,0,250.0,0.0,156.46404106551643
7,3,4,1577871695670078910,562.0,1,999.2625920817566,999.7949829101562,-100.80822140868915,0,188.0,0.0,100.80822140868915
7,4,5,1577871695912650477,0.0,4,998.2907880143738,999.8049926757812,-845.8988023731357,0,562.0,0.0,845.8988023731357
8,0,1,1577876140071643219,750.0,1,1005.4861683654785,1006.114990234375,-157.20546722411655,0,250.0,0.0,157.20546722411655
8,1,2,1577876140075972825,0.0,4,1004.1656424407959,1006.114990234375,-1462.0638427256142,0,750.0,0.0,1462.0638427256142
9,0,1,1577874041804780633,500.0,2,1002.5901644897461,1003.844970703125,-627.4031066894281,0,500.0,0.0,627.4031066894281
9,1,2,1577874041806966579,500.0,0,1003.844970703125,1003.844970703125,-0.0008107589731853881,0,0.0,0.0,0.0008107589731853881
9,2,3,1577874041826657899,0.0,4,1002.4646838684082,1003.844970703125,-690.1488342055462,0,500.0,0.0,690.1488342055462
10,0,1,1577875126796656877,0.0,4,1003.3204344177246,1005.8350219726562,-2514.587554931609,0,1000.0,0.0,2514.587554931609
11,0,1,1577875921184836984,500.0,2,1004.8224170684815,1006.0800170898438,-628.8000106811182,0,500.0,0.0,628.8000106811182
11,1,2,1577875921187439610,125.0,3,1005.0110570716859,1006.0800170898438,-401.3221445216149,0,375.0,0.0,401.3221445216149
11,2,3,1577875921257605557,94.0,1,1005.7819658847809,1006.0800170898438,-9.356656390015846,0,31.0,0.0,9.356656390015846
11,3,4,1577875921386141010,70.0,1,1005.7917751649476,1006.0800170898438,-7.036954191819507,0,24.0,0.0,7.036954191819507
11,4,5,1577875921410096763,35.0,2,1005.758071484375,1006.0800170898438,-11.399265416699143,0,35.0,0.0,11.399265416699143
11,5,6,1577875921416390408,17.0,2,1005.7920266849518,1006.0800170898438,-5.253366957213685,0,18.0,0.0,5.253366957213685
11,6,7,1577875921574192409,9.0,2,1005.8076477725373,1006.0750122070312,-2.2132356406808986,0,8.0,0.0,2.2132356406808986
11,7,8,1577875921614787015,9.0,0,1006.0750122070312,1006.0750122070312,-0.02484812517442858,0,0.0,0.0,0.02484812517442858
11,8,9,1577875921692389877,2.0,3,1005.8081508100433,1006.0750122070312,-1.929635482086013,0,7.0,0.0,1.929635482086013
11,9,10,1577875921695451624,1.0,2,1005.821481303955,1006.0750122070312,-0.26517268936603233,0,1.0,0.0,0.26517268936603233
11,10,11,1577875921714557085,0.0,3,1005.821229785202,1006.0750122070312,-0.2621201989384618,0,1.0,0.0,0.2621201989384618
12,0,1,1577874327359965442,1000.0,0,1004.4749755859375,1004.4749755859375,0.0,0,0.0,0.0,-0.0
12,1,2,1577874327474732191,0.0,4,1001.9637881469727,1004.4749755859375,-2511.188422755413,0,1000.0,0.0,2511.188422755413
13,0,1,1577875914169308782,500.0,2,1004.7075705718994,1005.9650268554688,-628.7281417846771,0,500.0,0.0,628.7281417846771
13,1,2,1577875914177062693,250.0,2,1005.2105530853271,1005.9650268554688,-188.63062991960047,0,250.0,0.0,188.63062991960047
13,2,3,1577875914179248639,0.0,4,1005.1476802711487,1005.9650268554688,-204.3532865479766,0,250.0,0.0,204.3532865479766
14,0,1,1577872658071490703,1000.0,0,1000.5700073242188,1000.5700073242188,0.0,0,0.0,0.0,-0.0
14,1,2,1577872658097851289,500.0,2,999.3192948150635,1000.5700073242188,-625.3671804304226,0,500.0,0.0,625.3671804304226
14,2,3,1577872658098236057,500.0,0,1000.5700073242188,1000.5700073242188,-0.046740205094270015,0,0.0,0.0,0.046740205094270015
14,3,4,1577872658125136648,250.0,2,999.8245809478759,1000.5750122070312,-186.4039367878783,0,250.0,0.0,186.4039367878783
14,4,5,1577872658131430293,62.0,3,999.9171341365052,1000.5750122070312,-122.78489206968712,0,188.0,0.0,122.78489206968712
14,5,6,1577872658136775935,16.0,3,1000.2353175074768,1000.5850219726562,-15.408047323988258,0,46.0,0.0,15.408047323988258
14,6,7,1577872658141375049,8.0,2,1000.3188663568116,1000.5850219726562,-2.0125738570728577,0,8.0,0.0,2.0125738570728577
14,7,8,1577872658375203740,2.0,3,1000.3118609788207,1000.5750122070312,-1.5507163572078702,0,6.0,0.0,1.5507163572078702
14,8,9,1577872658375839133,0.0,4,1000.3203658664245,1000.5750122070312,-0.5012070691130109,0,2.0,0.0,0.5012070691130109
15,0,1,1577875300626061967,1000.0,0,1005.864990234375,1005.864990234375,0.0,0,0.0,0.0,-0.0
15,1,2,1577875300628117649,500.0,2,1004.607658996582,1005.864990234375,-629.2314624597426,0,500.0,0.0,629.2314624597426
15,2,3,1577875300797660345,375.0,1,1005.4249243011475,1005.864990234375,-55.295858975855104,0,125.0,0.0,55.295858975855104
15,3,4,1577875300864531288,94.0,3,1005.0012036740112,1005.864990234375,-243.2301855524557,0,281.0,0.0,243.2301855524557
15,4,5,1577875300927694643,24.0,3,1005.4611354407958,1005.864990234375,-28.4254295830377,0,70.0,0.0,28.4254295830377
15,5,6,1577875300928508102,12.0,2,1005.5893832270508,1005.864990234375,-3.35393548430631,0,12.0,0.0,3.35393548430631
15,6,7,1577875300930286837,3.0,3,1005.5939096195068,1005.864990234375,-2.463095826038703,0,9.0,0.0,2.463095826038703
15,7,8,1577875300930693470,1.0,2,1005.6092490606079,1005.864990234375,-0.51734929825996,0,2.0,0.0,0.51734929825996
15,8,9,1577875300932472783,1.0,2,1005.864990234375,1005.864990234375,-0.0019575078851193583,0,0.0,0.0,0.0019575078851193583
15,9,10,1577875300932879416,0.0,3,1005.6112607905884,1005.864990234375,-0.25569508020207204,0,1.0,0.0,0.25569508020207204
16,0,1,1577871000015937573,750.0,1,998.3606197357178,998.9849853515625,-156.09140396117027,0,250.0,0.0,156.09140396117027
16,1,2,1577871000015940222,562.0,1,998.4530258468627,998.9849853515625,-100.2411198793045,0,188.0,0.0,100.2411198793045
16,2,3,1577871000015944813,422.0,1,998.5259517507935,998.9849853515625,-64.49578924678804,0,140.0,0.0,64.49578924678804
16,3,4,1577871000015956960,0.0,4,997.7867028616333,998.9849853515625,-505.92250568955933,0,422.0,0.0,505.92250568955933
17,0,1,1577873170298359038,500.0,2,1001.990938873291,1003.2449951171875,-627.0281219482285,0,500.0,0.0,627.0281219482285
17,1,2,1577873170611141938,125.0,3,1002.1790473098755,1003.2449951171875,-399.7463691730833,0,375.0,0.0,399.7463691730833
