episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-1609.4775287845814,1609.4775287845814,1,0.0,1.0,3,dqn,0
1,-2514.562530517537,2514.562530517537,1,0.0,1.0,1,dqn,0
2,-2508.8374328612417,2508.8374328612417,1,0.0,1.0,1,dqn,0
3,-2519.788857201584,2519.788857201584,1,0.0,1.0,3,dqn,0
4,-2500.5624389648347,2500.5624389648347,1,0.0,1.0,1,dqn,0
5,-1620.7585219901223,1620.7585219901223,1,0.0,1.0,2,dqn,0
6,-2515.025024414058,2515.025024414058,1,0.0,1.0,1,dqn,0
7,-1108.571577857901,1108.571577857901,1,0.0,1.0,5,dqn,0
8,-1619.4283025735174,1619.4283025735174,1,0.0,1.0,2,dqn,0
9,-1317.5714344723074,1317.5714344723074,1,0.0,1.0,3,dqn,0
10,-2514.587554931609,2514.587554931609,1,0.0,1.0,1,dqn,0
11,-1070.8476128434156,1070.8476128434156,1,0.0,1.0,11,dqn,0
12,-2511.1913741271333,2511.1913741271333,1,0.0,1.0,2,dqn,0
13,-1021.7985418087159,1021.7985418087159,1,0.0,1.0,3,dqn,0
14,-954.5830916492703,954.5830916492703,1,0.0,1.0,9,dqn,0
15,-967.5600561439638,967.5600561439638,1,0.0,1.0,10,dqn,0
16,-828.8841579998003,828.8841579998003,1,0.0,1.0,4,dqn,0
17,-1094.103051841129,1094.103051841129,1,0.0,1.0,3,dqn,0
18,-1615.5340238327715,1615.5340238327715,1,0.0,1.0,2,dqn,0
19,-2514.877516760251,2514.877516760251,1,0.0,1.0,2,dqn,0
20,-1553.6008044944147,1553.6008044944147,1,0.0,1.0,7,dqn,0
21,-2516.1194339409117,2516.1194339409117,1,0.0,1.0,2,dqn,0
22,-641.4420177701635,641.4420177701635,1,0.0,1.0,12,dqn,0
23,-2501.6375732420784,2501.6375732420784,1,0.0,1.0,1,dqn,0
24,-2509.637451171784,2509.637451171784,1,0.0,1.0,1,dqn,0
25,-972.2001379956683,972.2001379956683,1,0.0,1.0,5,dqn,0
26,-804.7540231324874,804.7540231324874,1,0.0,1.0,14,dqn,0
27,-2500.225067138672,2500.225067138672,1,0.0,1.0,1,dqn,0
28,-1508.5717826806554,1508.5717826806554,1,0.0,1.0,14,dqn,0
29,-1316.7683796691863,1316.7683796691863,1,0.0,1.0,2,dqn,0
30,-516.6709044988045,516.6709044988045,1,0.0,1.0,12,dqn,0
31,-2500.987548828107,2500.987548828107,1,0.0,1.0,1,dqn,0
32,-2516.312561035079,2516.312561035079,1,0.0,1.0,1,dqn,0
33,-663.3757615482792,663.3757615482792,1,0.0,1.0,8,dqn,0
34,-1321.1042719770894,1321.1042719770894,1,0.0,1.0,5,dqn,0
35,-2503.81289966302,2503.81289966302,1,0.0,1.0,2,dqn,0
36,-2509.53750610347,2509.53750610347,1,0.0,1.0,1,dqn,0
37,-1320.5790016213525,1320.5790016213525,1,0.0,1.0,2,dqn,0
38,-2515.924987792914,2515.924987792914,1,0.0,1.0,1,dqn,0
39,-2509.53750610347,2509.53750610347,1,0.0,1.0,1,dqn,0
40,-890.9180501362879,890.9180501362879,1,0.0,1.0,13,dqn,0
41,-1073.6369411736866,1073.6369411736866,1,0.0,1.0,9,dqn,0
42,-2497.57507324216,2497.57507324216,1,0.0,1.0,1,dqn,0
43,-704.1923143112488,704.1923143112488,1,0.0,1.0,8,dqn,0
44,-2508.2624816893713,2508.2624816893713,1,0.0,1.0,1,dqn,0
45,-894.5946685933517,894.5946685933517,1,402.919677734375,0.99962875,8,dqn,0
46,-1118.6571445096508,1118.6571445096508,1,422.5745849609375,0.99913375,4,dqn,0
47,-1551.3017154847598,1551.3017154847598,1,366.0890258789062,0.998515,5,dqn,0
48,-1561.2326275089613,1561.2326275089613,1,378.9823875427246,0.99802,4,dqn,0
49,-2506.71249389643,2506.71249389643,1,400.5313415527344,0.99789625,1,dqn,0
50,-2500.1875305175645,2500.1875305175645,1,500.418701171875,0.9977725,1,dqn,0
51,-1080.0924912115852,1080.0924912115852,1,395.4006086077009,0.99690625,7,dqn,0
52,-1320.9680624809253,1320.9680624809253,1,487.65782165527344,0.99665875,2,dqn,0
53,-2502.337493896448,2502.337493896448,1,376.6679382324219,0.996535,1,dqn,0
54,-1314.1435772228665,1314.1435772228665,1,415.52857462565106,0.99616375,3,dqn,0
55,-1113.0672629237818,1113.0672629237818,1,422.50630950927734,0.99566875,4,dqn,0
56,-899.479544501174,899.479544501174,1,422.62891642252606,0.9938125,15,dqn,0
57,-1615.5310695026928,1615.5310695026928,1,548.0211181640625,0.993565,2,dqn,0
58,-2502.3124694823764,2502.3124694823764,1,503.23870849609375,0.99344125,1,dqn,0
59,-1097.2648646894868,1097.2648646894868,1,397.87850189208984,0.99294625,4,dqn,0
60,-1021.6240332850103,1021.6240332850103,1,482.5924479166667,0.992575,3,dqn,0
61,-1518.7443993262402,1518.7443993262402,1,411.2796203613281,0.99071875,15,dqn,0
62,-2498.362426757808,2498.362426757808,1,399.8059387207031,0.990595,1,dqn,0
63,-1320.1100913546334,1320.1100913546334,1,513.7041015625,0.9903475,2,dqn,0
64,-2515.612487792964,2515.612487792964,1,386.8395690917969,0.99022375,1,dqn,0
65,-948.8257888605209,948.8257888605209,1,356.7693583170573,0.9898525,3,dqn,0
66,-1055.1191754242218,1055.1191754242218,1,394.34575711763824,0.98824375,13,dqn,0
67,-1075.238791507419,1075.238791507419,1,324.02266184488934,0.98750125,6,dqn,0
68,-1522.448899188016,1522.448899188016,1,402.6311899820964,0.98675875,6,dqn,0
69,-1615.725578036367,1615.725578036367,1,373.4203338623047,0.98651125,2,dqn,0
70,-1090.695603092442,1090.695603092442,1,364.18516845703124,0.9858925,5,dqn,0
71,-536.8822698480379,536.8822698480379,1,401.4912963867188,0.984655,10,dqn,0
72,-1070.6303299324525,1070.6303299324525,1,376.4080423990885,0.9827987499999999,15,dqn,0
73,-947.7967397891769,947.7967397891769,1,361.10146077473956,0.98205625,6,dqn,0
74,-2499.8875427245366,2499.8875427245366,1,222.01295471191406,0.9819325,1,dqn,0
75,-1085.6619225738352,1085.6619225738352,1,353.56224931989397,0.98106625,7,dqn,0
