episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-33.014999999990685,36.739999999980455,1,0.0,1.0,3,dqn,0
1,-39.789999999979045,39.78999999996802,1,0.0,1.0,1,dqn,0
2,-28.630000000004657,28.630000000006817,1,0.0,1.0,1,dqn,0
3,-30.603333333325768,30.56999999999732,1,0.0,1.0,3,dqn,0
4,-27.389999999999418,27.389999999996917,1,0.0,1.0,1,dqn,0
5,-27.880000000004657,27.879999999999683,1,0.0,1.0,2,dqn,0
6,-43.91000000000349,43.909999999996785,1,0.0,1.0,1,dqn,0
7,-55.02953333334003,61.45000000000053,1,0.0,1.0,5,dqn,0
8,-30.130000000004657,30.129999999999768,1,0.0,1.0,2,dqn,0
9,-23.996666666669867,23.980000000001667,1,0.0,1.0,3,dqn,0
10,-39.00999999999476,39.00999999999044,1,0.0,1.0,1,dqn,0
11,-30.56466666666342,33.319999999989946,1,0.0,1.0,11,dqn,0
12,-28.980000000010477,28.980000000004225,1,0.0,1.0,2,dqn,0
13,-25.008333333333333,27.499999999992752,1,0.0,1.0,3,dqn,0
14,-28.098000000000734,30.549999999994014,1,0.0,1.0,9,dqn,0
15,-32.20236666666736,38.57999999999626,1,0.0,1.0,10,dqn,0
16,-36.74686666666194,39.5099999999959,1,0.0,1.0,4,dqn,0
17,-35.06916666667081,38.19000000000017,1,0.0,1.0,3,dqn,0
18,-37.76999999998952,37.76999999998054,1,0.0,1.0,2,dqn,0
19,-18.189999999987776,13.189999999994484,1,0.0,1.0,2,dqn,0
20,-31.92459999999918,33.38000000000005,1,0.0,1.0,7,dqn,0
21,-28.55000000000291,28.550000000009845,1,0.0,1.0,2,dqn,0
22,-30.009299999999726,33.12999999999677,1,0.0,1.0,12,dqn,0
23,-41.64999999999418,41.64999999998997,1,0.0,1.0,1,dqn,0
24,-30.419999999998254,30.419999999992342,1,0.0,1.0,1,dqn,0
25,-34.55476666665997,38.389999999992966,1,0.0,1.0,5,dqn,0
26,-25.909633333325786,26.44999999998612,1,0.0,1.0,14,dqn,0
27,-28.669999999998254,28.66999999999109,1,0.0,1.0,1,dqn,0
28,-21.616666666668895,23.400000000002734,1,0.0,1.0,14,dqn,0
29,-25.719999999993888,28.21999999999747,1,8.149373054504395,0.99962,2,dqn,0
30,-32.91536666666441,33.78999999999972,1,6.90260066986084,0.99772,5,dqn,0
31,-33.854166666662664,36.89999999998861,1,6.819454002380371,0.99582,5,dqn,0
32,-22.180699999995777,22.60999999999001,1,6.498636404673259,0.99354,6,dqn,0
33,-31.408333333327512,35.14999999999091,1,6.789039611816406,0.9924,3,dqn,0
34,-27.124999999991267,27.09999999998658,1,6.694796880086263,0.99126,3,dqn,0
35,-34.45999999999185,34.459999999981505,1,6.2841973304748535,0.9905,2,dqn,0
36,-29.8744000000016,32.28999999999061,1,6.68007755279541,0.98898,4,dqn,0
37,-34.898333333325475,36.13999999998896,1,8.195492585500082,0.98784,3,dqn,0
38,-31.94000000000233,31.93999999999164,1,7.528278827667236,0.98746,1,dqn,0
39,-19.538333333329987,21.92999999999401,1,6.936308860778809,0.9851800000000001,6,dqn,0
40,-29.91623333333355,36.28999999999937,1,6.607796788215637,0.98366,4,dqn,0
41,-24.556266666673217,29.24000000000234,1,7.475662549336751,0.98252,3,dqn,0
42,-32.37256666665633,33.76999999998448,1,6.969683726628621,0.98024,6,dqn,0
43,-30.02339999998932,33.02999999998298,1,7.0361061829787035,0.9753000000000001,13,dqn,0
44,-26.28549999999389,30.589999999985253,1,6.052921908242362,0.97264,7,dqn,0
45,-26.079999999987194,26.07999999999322,1,9.050354957580566,0.97226,1,dqn,0
46,-33.44999999999709,33.44999999998777,1,6.390616416931152,0.97188,1,dqn,0
47,-24.779299999999708,26.099999999997053,1,5.9569323539733885,0.96998,5,dqn,0
48,-29.628833333327798,26.79999999999484,1,5.717975306510925,0.96238,20,dqn,0
49,-21.805233333333277,23.30000000000136,1,4.792850528444562,0.95706,14,dqn,0
50,-28.00999999999476,28.00999999999476,1,4.5222086906433105,0.95668,1,dqn,0
51,-34.584399999990175,42.20999999999087,1,4.747881841659546,0.95478,5,dqn,0
52,-20.519866666670012,22.820000000000263,1,4.654974400997162,0.95174,8,dqn,0
53,-26.74000000000524,29.240000000001487,1,4.989035129547119,0.95098,2,dqn,0
54,-28.139999999999418,28.140000000000498,1,4.145764350891113,0.95022,2,dqn,0
55,-36.89999999999418,36.89999999998861,1,3.313220262527466,0.94984,1,dqn,0
56,-33.632100000002296,34.02000000000167,1,4.53942381251942,0.94566,11,dqn,0
57,-22.25416666665862,22.84999999999293,1,3.868858218193054,0.94338,6,dqn,0
58,-20.874733333333005,25.77999999999382,1,3.831931374289773,0.9392,11,dqn,0
59,-39.54000000000087,43.28999999999894,1,4.535307168960571,0.93844,2,dqn,0
60,-21.34833333332984,22.58999999999034,1,3.884242137273153,0.9373,3,dqn,0
61,-37.536699999997595,39.659999999992564,1,3.6268807848294577,0.93274,12,dqn,0
62,-31.453333333333557,32.260000000000645,1,3.1656604210535684,0.92818,12,dqn,0
63,-32.66476666666233,35.21999999999336,1,2.893877696990967,0.92628,5,dqn,0
64,-31.236500000000493,32.94999999999105,1,2.909505772590637,0.92248,10,dqn,0
