episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-32.029999999998836,32.02999999999179,1,1,0.0,immediate,0
1,-39.789999999979045,39.78999999996802,1,1,0.0,immediate,0
2,-28.630000000004657,28.630000000006817,1,1,0.0,immediate,0
3,-30.529999999998836,30.529999999998836,1,1,0.0,immediate,0
4,-27.389999999999418,27.389999999996917,1,1,0.0,immediate,0
5,-28.220000000001164,28.219999999990364,1,1,0.0,immediate,0
6,-43.91000000000349,43.909999999996785,1,1,0.0,immediate,0
7,-54.5399999999936,54.53999999998871,1,1,0.0,immediate,0
8,-28.589999999996508,28.58999999999412,1,1,0.0,immediate,0
9,-23.360000000000582,23.359999999996717,1,1,0.0,immediate,0
10,-39.00999999999476,39.00999999999044,1,1,0.0,immediate,0
11,-33.55999999999767,33.55999999999426,1,1,0.0,immediate,0
12,-28.60000000000582,28.599999999997294,1,1,0.0,immediate,0
13,-27.389999999999418,27.389999999996917,1,1,0.0,immediate,0
14,-30.220000000001164,30.219999999999914,1,1,0.0,immediate,0
15,-35.720000000001164,35.71999999999775,1,1,0.0,immediate,0
16,-38.24999999998545,38.24999999999079,1,1,0.0,immediate,0
17,-38.08999999999651,38.08999999999685,1,1,0.0,immediate,0
18,-35.90999999998894,35.90999999998701,1,1,0.0,immediate,0
19,-21.919999999998254,21.91999999999439,1,1,0.0,immediate,0
20,-33.419999999998254,33.419999999992456,1,1,0.0,immediate,0
21,-27.05000000000291,27.050000000002683,1,1,0.0,immediate,0
22,-31.829999999987194,31.829999999985148,1,1,0.0,immediate,0
23,-41.64999999999418,41.64999999998997,1,1,0.0,immediate,0
24,-30.419999999998254,30.419999999992342,1,1,0.0,immediate,0
25,-34.29999999998836,34.29999999998756,1,1,0.0,immediate,0
26,-32.08999999999651,32.08999999999662,1,1,0.0,immediate,0
27,-28.669999999998254,28.66999999999109,1,1,0.0,immediate,0
28,-23.110000000000582,23.11000000000263,1,1,0.0,immediate,0
29,-27.889999999999418,27.889999999999304,1,1,0.0,immediate,0
30,-39.620000000009895,39.62000000001353,1,1,0.0,immediate,0
31,-34.88000000000466,34.88000000000113,1,1,0.0,immediate,0
32,-31.089999999996508,31.089999999991846,1,1,0.0,immediate,0
33,-32.48999999999069,32.48999999999569,1,1,0.0,immediate,0
34,-25.39999999999418,25.39999999999054,1,1,0.0,immediate,0
35,-32.22999999998137,32.229999999970005,1,1,0.0,immediate,0
36,-31.980000000010477,31.98000000000434,1,1,0.0,immediate,0
37,-34.61999999999534,34.61999999998966,1,1,0.0,immediate,0
38,-31.94000000000233,31.93999999999164,1,1,0.0,immediate,0
39,-24.04999999998836,24.04999999998836,1,1,0.0,immediate,0
40,-38.10999999998603,38.109999999988986,1,1,0.0,immediate,0
41,-28.429999999993015,28.429999999985966,1,1,0.0,immediate,0
42,-33.4600000000064,33.46000000000515,1,1,0.0,immediate,0
43,-32.40999999998894,32.40999999998451,1,1,0.0,immediate,0
44,-26.69999999999709,26.699999999991064,1,1,0.0,immediate,0
45,-26.079999999987194,26.07999999999322,1,1,0.0,immediate,0
46,-33.44999999999709,33.44999999998777,1,1,0.0,immediate,0
47,-23.929999999993015,23.9299999999929,1,1,0.0,immediate,0
48,-43.220000000001164,43.22000000000514,1,1,0.0,immediate,0
49,-22.90999999998894,22.90999999999599,1,1,0.0,immediate,0
50,-28.00999999999476,28.00999999999476,1,1,0.0,immediate,0
51,-35.26000000000931,35.26000000000806,1,1,0.0,immediate,0
52,-21.40999999998894,21.409999999988827,1,1,0.0,immediate,0
53,-27.570000000006985,27.57000000001142,1,1,0.0,immediate,0
54,-29.85999999998603,29.85999999998512,1,1,0.0,immediate,0
55,-36.89999999999418,36.89999999998861,1,1,0.0,immediate,0
56,-34.66000000000349,34.660000000002356,1,1,0.0,immediate,0
57,-29.25999999999476,29.259999999993624,1,1,0.0,immediate,0
58,-24.830000000001746,24.830000000008567,1,1,0.0,immediate,0
59,-43.89000000001397,43.89000000001886,1,1,0.0,immediate,0
60,-26.95999999999185,26.959999999988327,1,1,0.0,immediate,0
61,-38.44999999999709,38.44999999999743,1,1,0.0,immediate,0
62,-32.020000000004075,32.020000000002824,1,1,0.0,immediate,0
63,-32.30000000000291,32.299999999992224,1,1,0.0,immediate,0
