episode,step,t,timestamp_ns,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,-1,0.0,-1,99.97297,100.005,-32.029999999998836,0,1000.0,0.0,32.02999999999179
1,0,1,-1,0.0,-1,99.96521000000003,100.005,-39.789999999979045,0,1000.0,0.0,39.78999999996802
2,0,1,-1,0.0,-1,99.97137,100.0,-28.630000000004657,0,1000.0,0.0,28.630000000006817
3,0,1,-1,0.0,-1,99.96947,100.0,-30.529999999998836,0,1000.0,0.0,30.529999999998836
4,0,1,-1,0.0,-1,99.97761,100.005,-27.389999999999418,0,1000.0,0.0,27.389999999996917
5,0,1,-1,0.0,-1,99.97678,100.005,-28.220000000001164,0,1000.0,0.0,28.219999999990364
6,0,1,-1,0.0,-1,99.96109,100.005,-43.91000000000349,0,1000.0,0.0,43.909999999996785
7,0,1,-1,0.0,-1,99.94546000000001,100.0,-54.5399999999936,0,1000.0,0.0,54.53999999998871
8,0,1,-1,0.0,-1,99.97141,100.0,-28.589999999996508,0,1000.0,0.0,28.58999999999412
9,0,1,-1,0.0,-1,99.97664,100.0,-23.360000000000582,0,1000.0,0.0,23.359999999996717
10,0,1,-1,0.0,-1,99.96099000000001,100.0,-39.00999999999476,0,1000.0,0.0,39.00999999999044
11,0,1,-1,0.0,-1,99.97144,100.005,-33.55999999999767,0,1000.0,0.0,33.55999999999426
12,0,1,-1,0.0,-1,99.9764,100.005,-28.60000000000582,0,1000.0,0.0,28.599999999997294
13,0,1,-1,0.0,-1,99.97761,100.005,-27.389999999999418,0,1000.0,0.0,27.389999999996917
14,0,1,-1,0.0,-1,99.97478,100.005,-30.220000000001164,0,1000.0,0.0,30.219999999999914
15,0,1,-1,0.0,-1,99.96428,100.0,-35.720000000001164,0,1000.0,0.0,35.71999999999775
16,0,1,-1,0.0,-1,99.96175000000001,100.0,-38.24999999998545,0,1000.0,0.0,38.24999999999079
17,0,1,-1,0.0,-1,99.96191,100.0,-38.08999999999651,0,1000.0,0.0,38.08999999999685
18,0,1,-1,0.0,-1,99.96909000000001,100.005,-35.90999999998894,0,1000.0,0.0,35.90999999998701
19,0,1,-1,0.0,-1,99.98308,100.005,-21.919999999998254,0,1000.0,0.0,21.91999999999439
20,0,1,-1,0.0,-1,99.96658000000001,100.0,-33.419999999998254,0,1000.0,0.0,33.419999999992456
21,0,1,-1,0.0,-1,99.97295,100.0,-27.05000000000291,0,1000.0,0.0,27.050000000002683
22,0,1,-1,0.0,-1,99.97317000000001,100.005,-31.829999999987194,0,1000.0,0.0,31.829999999985148
23,0,1,-1,0.0,-1,99.96335,100.005,-41.64999999999418,0,1000.0,0.0,41.64999999998997
24,0,1,-1,0.0,-1,99.97458,100.005,-30.419999999998254,0,1000.0,0.0,30.419999999992342
25,0,1,-1,0.0,-1,99.96570000000001,100.0,-34.29999999998836,0,1000.0,0.0,34.29999999998756
26,0,1,-1,0.0,-1,99.97291,100.005,-32.08999999999651,0,1000.0,0.0,32.08999999999662
27,0,1,-1,0.0,-1,99.97633,100.005,-28.669999999998254,0,1000.0,0.0,28.66999999999109
28,0,1,-1,0.0,-1,99.97689,100.0,-23.110000000000582,0,1000.0,0.0,23.11000000000263
29,0,1,-1,0.0,-1,99.97211,100.0,-27.889999999999418,0,1000.0,0.0,27.889999999999304
30,0,1,-1,0.0,-1,99.96037999999999,100.0,-39.620000000009895,0,1000.0,0.0,39.62000000001353
31,0,1,-1,0.0,-1,99.96512,100.0,-34.88000000000466,0,1000.0,0.0,34.88000000000113
32,0,1,-1,0.0,-1,99.97391,100.005,-31.089999999996508,0,1000.0,0.0,31.089999999991846
33,0,1,-1,0.0,-1,99.96751,100.0,-32.48999999999069,0,1000.0,0.0,32.48999999999569
34,0,1,-1,0.0,-1,99.97460000000001,100.0,-25.39999999999418,0,1000.0,0.0,25.39999999999054
35,0,1,-1,0.0,-1,99.97277000000003,100.005,-32.22999999998137,0,1000.0,0.0,32.229999999970005
