episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-2519.937438964803,2519.937438964803,1,1,0.0,immediate,0
1,-2518.2374572752906,2518.2374572752906,1,1,0.0,immediate,0
2,-2515.950012206986,2515.950012206986,1,1,0.0,immediate,0
3,-2519.437561035147,2519.437561035147,1,1,0.0,immediate,0
4,-2520.237426757717,2520.237426757717,1,1,0.0,immediate,0
5,-2517.062530517478,2517.062530517478,1,1,0.0,immediate,0
6,-2520.075073242083,2520.075073242083,1,1,0.0,immediate,0
7,-2520.8624267577306,2520.8624267577306,1,1,0.0,immediate,0
8,-2520.462493896389,2520.462493896389,1,1,0.0,immediate,0
9,-2516.1999511718705,2516.1999511718705,1,1,0.0,immediate,0
10,-2518.8125610351335,2518.8125610351335,1,1,0.0,immediate,0
11,-2520.5749511718523,2520.5749511718523,1,1,0.0,immediate,0
12,-2517.0375061034065,2517.0375061034065,1,1,0.0,immediate,0
13,-2520.7124328612736,2520.7124328612736,1,1,0.0,immediate,0
14,-2517.66250610342,2517.66250610342,1,1,0.0,immediate,0
15,-2519.5124816893895,2519.5124816893895,1,1,0.0,immediate,0
16,-2518.8374328612326,2518.8374328612326,1,1,0.0,immediate,0
17,-2516.1375427245503,2516.1375427245503,1,1,0.0,immediate,0
18,-2515.537567138608,2515.537567138608,1,1,0.0,immediate,0
19,-2520.512542724532,2520.512542724532,1,1,0.0,immediate,0
20,-2518.1375122069767,2518.1375122069767,1,1,0.0,immediate,0
21,-2517.0375061034065,2517.0375061034065,1,1,0.0,immediate,0
22,-2520.462493896389,2520.462493896389,1,1,0.0,immediate,0
23,-2520.237426757717,2520.237426757717,1,1,0.0,immediate,0
24,-2516.437530517578,2516.437530517578,1,1,0.0,immediate,0
25,-2520.7124328612736,2520.7124328612736,1,1,0.0,immediate,0
26,-2520.7124328612736,2520.7124328612736,1,1,0.0,immediate,0
27,-2520.1625061034747,2520.1625061034747,1,1,0.0,immediate,0
28,-2520.4374694823173,2520.4374694823173,1,1,0.0,immediate,0
29,-2516.1375427245503,2516.1375427245503,1,1,0.0,immediate,0
30,-2520.9875488280886,2520.9875488280886,1,1,0.0,immediate,0
31,-2520.08743286126,2520.08743286126,1,1,0.0,immediate,0
32,-2519.7125244139897,2519.7125244139897,1,1,0.0,immediate,0
33,-2516.587524414035,2516.587524414035,1,1,0.0,immediate,0
34,-2517.062530517478,2517.062530517478,1,1,0.0,immediate,0
35,-2520.5624389648165,2520.5624389648165,1,1,0.0,immediate,0
36,-2515.537567138608,2515.537567138608,1,1,0.0,immediate,0
37,-2517.0375061034065,2517.0375061034065,1,1,0.0,immediate,0
38,-2520.5624389648165,2520.5624389648165,1,1,0.0,immediate,0
39,-2515.537567138608,2515.537567138608,1,1,0.0,immediate,0
40,-2520.462493896389,2520.462493896389,1,1,0.0,immediate,0
41,-2520.062561035047,2520.062561035047,1,1,0.0,immediate,0
42,-2518.8374328612326,2518.8374328612326,1,1,0.0,immediate,0
43,-2519.387512207004,2519.387512207004,1,1,0.0,immediate,0
44,-2516.162567138622,2516.162567138622,1,1,0.0,immediate,0
45,-2519.7375488280613,2519.7375488280613,1,1,0.0,immediate,0
46,-2519.3624877929324,2519.3624877929324,1,1,0.0,immediate,0
47,-2517.3875427245775,2517.3875427245775,1,1,0.0,immediate,0
48,-2519.687499999918,2519.687499999918,1,1,0.0,immediate,0
49,-2516.3250732421147,2516.3250732421147,1,1,0.0,immediate,0
50,-2520.1625061034747,2520.1625061034747,1,1,0.0,immediate,0
51,-2515.562438964821,2515.562438964821,1,1,0.0,immediate,0
52,-2519.6124267577034,2519.6124267577034,1,1,0.0,immediate,0
53,-2520.8874511718022,2520.8874511718022,1,1,0.0,immediate,0
54,-2515.987548828093,2515.987548828093,1,1,0.0,immediate,0
55,-2515.387573242151,2515.387573242151,1,1,0.0,immediate,0
56,-2515.2125549316224,2515.2125549316224,1,1,0.0,immediate,0
57,-2515.562438964821,2515.562438964821,1,1,0.0,immediate,0
58,-2520.8874511718022,2520.8874511718022,1,1,0.0,immediate,0
59,-2519.987487792946,2519.987487792946,1,1,0.0,immediate,0
60,-2519.437561035147,2519.437561035147,1,1,0.0,immediate,0
61,-2515.4624938963934,2515.4624938963934,1,1,0.0,immediate,0
62,-2519.5625305175327,2519.5625305175327,1,1,0.0,immediate,0
63,-2517.2375488281205,2517.2375488281205,1,1,0.0,immediate,0
64,-2519.8374938963752,2519.8374938963752,1,1,0.0,immediate,0
65,-2519.8374938963752,2519.8374938963752,1,1,0.0,immediate,0
66,-2520.962524414017,2520.962524414017,1,1,0.0,immediate,0
67,-2520.962524414017,2520.962524414017,1,1,0.0,immediate,0
68,-2517.062530517478,2517.062530517478,1,1,0.0,immediate,0
69,-2516.587524414035,2516.587524414035,1,1,0.0,immediate,0
70,-2520.0250244140534,2520.0250244140534,1,1,0.0,immediate,0
71,-2518.862457275304,2518.862457275304,1,1,0.0,immediate,0
72,-2520.062561035047,2520.062561035047,1,1,0.0,immediate,0
73,-2520.1625061034747,2520.1625061034747,1,1,0.0,immediate,0
