episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-2629.6478271483466,2519.6624755858466,1,20,0.0,last_minute,0
1,-2268.862457275304,2518.862457275304,1,20,0.0,last_minute,0
2,-2680.515594482358,2515.537567138608,1,20,0.0,last_minute,0
3,-2449.6661376952034,2519.6124267577034,1,20,0.0,last_minute,0
4,-2270.8624267577306,2520.8624267577306,1,20,0.0,last_minute,0
5,-2417.3368835448628,2517.3124694823628,1,20,0.0,last_minute,0
6,-2475.2046203612963,2520.1875305175463,1,20,0.0,last_minute,0
7,-2460.95397949216,2521.01257324216,1,20,0.0,last_minute,0
8,-2729.959411621053,2519.937438964803,1,20,0.0,last_minute,0
9,-2411.421051025286,2516.462554931536,1,20,0.0,last_minute,0
10,-2359.2393493652253,2519.2124938964753,1,20,0.0,last_minute,0
11,-2685.1405334472247,2520.1625061034747,1,20,0.0,last_minute,0
12,-2527.0222473144486,2517.0124816894486,1,20,0.0,last_minute,0
13,-2740.1332092284747,2520.1625061034747,1,20,0.0,last_minute,0
14,-2747.0680236815497,2517.0875549315497,1,20,0.0,last_minute,0
15,-2499.5429992675327,2519.5625305175327,1,20,0.0,last_minute,0
16,-2274.393920898433,2519.450073242183,1,20,0.0,last_minute,0
17,-2496.2289428710847,2516.1874389648347,1,20,0.0,last_minute,0
18,-2321.078643798728,2516.024932861228,1,20,0.0,last_minute,0
19,-2430.771636962845,2520.737457275345,1,20,0.0,last_minute,0
20,-2353.5719299316042,2518.5499572753542,1,20,0.0,last_minute,0
21,-2631.740264892528,2516.750030517528,1,20,0.0,last_minute,0
22,-2759.852752685447,2519.862518310447,1,20,0.0,last_minute,0
23,-2719.6887207030613,2519.7375488280613,1,20,0.0,last_minute,0
24,-2456.589965820285,2516.587524414035,1,20,0.0,last_minute,0
25,-2520.7124328612736,2520.7124328612736,1,20,0.0,last_minute,0
26,-2560.5905151367097,2520.6124877929597,1,20,0.0,last_minute,0
27,-2380.497894287032,2520.512542724532,1,20,0.0,last_minute,0
28,-2779.7972106933457,2519.7874450683457,1,20,0.0,last_minute,0
29,-2516.1375427245503,2516.1375427245503,1,20,0.0,last_minute,0
30,-2560.9265136718022,2520.8874511718022,1,20,0.0,last_minute,0
31,-2679.660644531168,2519.687499999918,1,20,0.0,last_minute,0
32,-2549.666748046775,2519.637451171775,1,20,0.0,last_minute,0
33,-2526.5722656249636,2516.5624999999636,1,20,0.0,last_minute,0
34,-2646.7424011229923,2516.7375183104923,1,20,0.0,last_minute,0
35,-2570.4252624510673,2520.4374694823173,1,20,0.0,last_minute,0
36,-2316.086273193264,2516.037445068264,1,20,0.0,last_minute,0
37,-2631.740264892528,2516.750030517528,1,20,0.0,last_minute,0
38,-2670.1509094237963,2520.1875305175463,1,20,0.0,last_minute,0
39,-2380.926208496021,2515.874938964771,1,20,0.0,last_minute,0
40,-2660.1271057128315,2520.1124572753315,1,20,0.0,last_minute,0
41,-2230.8094787597383,2520.7875061034883,1,20,0.0,last_minute,0
42,-2189.6453857420966,2519.6624755858466,1,20,0.0,last_minute,0
43,-2220.149688720653,2520.137481689403,1,20,0.0,last_minute,0
44,-2595.9796142577716,2515.9625244140216,1,20,0.0,last_minute,0
45,-2549.6917724608466,2519.6624755858466,1,20,0.0,last_minute,0
46,-2479.4844055174963,2519.4624328612463,1,20,0.0,last_minute,0
