episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-922.2083146904054,898.1485432487549,-915.2252034050049,24.059771441650387,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
1,-1261.873847238408,1252.056897423955,-1252.056897423955,9.816949814453125,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
2,-1033.191290687491,1011.0212144374909,-1011.0212144374909,22.17007625,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
3,-1905.417797448732,1903.134438476564,-1903.134438476564,2.2833589721679686,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
4,-823.4719370964162,808.0049538597218,-783.6361794456593,15.466983236694338,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
5,-941.7111533528665,932.5690223360208,-932.5690223360208,9.142131016845703,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
6,-1666.1067962579834,1663.0480547247803,-1669.4762773810303,3.0587415332031247,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
7,-696.0047654450924,662.1538208882077,-650.7824219624265,33.85094455688477,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
8,-1636.5862162248354,1630.4550477653625,-1657.5758973747375,6.131168459472657,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
9,-1068.428567081272,1059.986062513401,-1059.986062513401,8.442504567871094,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
10,-2193.671893005528,2192.082642136387,-2192.082642136387,1.5892508691406249,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
11,-2193.134250811311,2191.4138112947094,-2190.6037527009594,1.7204395166015625,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
12,-2191.132449225295,2189.906709104445,-2186.9381422099136,1.2257401208496093,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
13,-2192.685323860259,2190.954823293852,-2190.954823293852,1.73050056640625,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
14,-1169.9200682089916,1156.773563973152,-1156.773563973152,13.146504235839846,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
15,-702.0431087045511,683.021823169883,-683.021823169883,19.02128553466797,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
16,-1457.8079475059983,1443.7447139806077,-1437.9190303868577,14.063233525390626,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
17,-1905.9995977464328,1902.327501473239,-1903.107286629489,3.6720962731933593,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
18,-1513.1605294913493,1509.8579781333174,-1509.8279488364424,3.302551358032226,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
19,-1705.5080767056281,1696.1928405569465,-1696.1928405569465,9.315236148681642,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
20,-1121.892031824906,1112.6981496227577,-1110.3382253063514,9.193882202148439,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
21,-1085.9000208416428,1078.36669139279,-1078.36669139279,7.53332944885254,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
22,-907.2231054033921,885.0988066497299,-882.2590849700424,22.12429875366211,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
23,-957.0082150089316,947.1400409348348,-964.5868182785848,9.86817407409668,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
24,-2509.6624755858556,2509.6624755858556,-2509.6624755858556,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
25,-1003.2256057881309,987.6428983650352,-987.5027616462852,15.5827074230957,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
26,-851.3542295305441,834.1217067314717,-833.4910914970967,17.232522799072264,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
27,-2501.83746337882,2501.83746337882,-2501.83746337882,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
28,-1537.292077701177,1530.1508997580618,-1601.5334681174368,7.141177943115234,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
29,-1381.6197101039972,1373.9444269100275,-1375.9833063045587,7.675283193969726,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
30,-831.5393890868035,816.9758576933707,-818.1354035918082,14.563531393432617,0.0,1,0.0,1.0,13,dqn2_is_aligned,0
31,-714.9898192222585,689.4366657481374,-677.4666950450124,25.553153474121093,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
32,-1410.1015703951675,1403.9358323904073,-1421.5505784841573,6.165738004760741,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
33,-1075.4640775600017,1055.1042758095134,-1060.4494906532634,20.359801750488284,0.0,1,0.0,1.0,13,dqn2_is_aligned,0
34,-1011.7088163481945,993.4232815813488,-994.7445706438488,18.285534766845707,0.0,1,0.0,1.0,16,dqn2_is_aligned,0
35,-1204.942046109751,1197.4588672010593,-1189.7626391737156,7.483178908691405,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
36,-1646.0095159537896,1642.3756694096005,-1642.3756694096005,3.633846544189453,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
37,-1636.1848439021815,1627.494861734213,-1627.494861734213,8.68998216796875,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
38,-1473.7871727709467,1469.8125050402336,-1469.8125050402336,3.9746677307128904,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
39,-1033.569082928765,1025.6790970095756,-1025.6790970095756,7.889985919189453,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
40,-1898.8764802316014,1896.3152386691013,-1897.2186200167575,2.5612415625000002,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
41,-625.0419360631464,605.5582705510615,-600.578412152624,19.483665512084965,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
42,-1538.5467980678623,1531.400407628409,-1531.400407628409,7.146390439453125,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
43,-1381.7922498558455,1373.7045324754745,-1375.6132849168807,8.087717380371092,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
44,-1309.1682708929177,1304.2723864690895,-1304.2823962347145,4.895884423828125,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
45,-923.6775090290774,911.4302907356204,-928.3131032356204,12.247218293457031,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
46,-2514.662475585851,2514.662475585851,-2514.662475585851,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
47,-1254.631453888757,1229.8924190059442,-1234.8872920528192,24.739034882812497,0.0,1,0.0,1.0,12,dqn2_is_aligned,0
48,-862.899009484497,851.7481526680907,-885.3867635079345,11.150856816406248,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
49,-1004.0770947325013,991.6939350126527,-991.9942279814027,12.383159719848635,0.0,1,0.0,1.0,4,dqn2_is_aligned,0
