episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-3304.125687413794,898.1485432487549,-915.2252034050049,2405.977144165039,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
1,-2233.751878869267,1252.056897423955,-1252.056897423955,981.6949814453124,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
2,-3228.0288394374907,1011.0212144374909,-1011.0212144374909,2217.007625,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
3,-2131.470335693361,1903.134438476564,-1903.134438476564,228.33589721679684,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
4,-2354.7032775291555,808.0049538597218,-783.6361794456593,1546.6983236694336,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
5,-1846.7821240205913,932.5690223360208,-932.5690223360208,914.2131016845702,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
6,-1968.922208045093,1663.0480547247803,-1669.4762773810303,305.8741533203125,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
7,-4047.2482765766845,662.1538208882077,-650.7824219624265,3385.0944556884765,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
8,-2243.571893712629,1630.4550477653625,-1657.5758973747375,613.1168459472655,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
9,-1904.2365193005103,1059.986062513401,-1059.986062513401,844.2504567871093,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
10,-2351.0077290504496,2192.082642136387,-2192.082642136387,158.92508691406246,0.0,1,0.0,1.0,11,dqn2_is_aligned,0
11,-2363.4577629548658,2191.4138112947094,-2190.6037527009594,172.04395166015627,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
12,-2312.480721189406,2189.906709104445,-2186.9381422099136,122.57401208496094,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
13,-2364.004879934477,2190.954823293852,-2190.954823293852,173.050056640625,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
14,-2471.4239875571366,1156.773563973152,-1156.773563973152,1314.6504235839845,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
15,-2585.1503766366795,683.021823169883,-683.021823169883,1902.1285534667968,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
16,-2850.06806651967,1443.7447139806077,-1437.9190303868577,1406.3233525390626,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
17,-2269.5371287925755,1902.327501473239,-1903.107286629489,367.20962731933594,0.0,1,0.0,1.0,8,dqn2_is_aligned,0
