episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,250.0,3,1004.8274361801148,1006.7150268554688,-1415.6930065154825,0,750.0,0.0,1415.6930065154825
0,1,2,0.0,4,1005.8970708961486,1006.7150268554688,-204.6139898300255,0,250.0,0.0,204.4889898300255
1,0,1,1000.0,0,1005.8350219726562,1005.8350219726562,0.0,0,0.0,0.0,0.0
1,1,2,750.0,1,1005.2063750839234,1005.8350219726562,-157.66172218321844,0,250.0,0.0,157.16172218321844
1,2,3,375.0,2,1004.8291869506836,1005.8350219726562,-377.9381332397413,0,375.0,0.0,377.1881332397413
1,3,4,0.0,4,1004.7348899173736,1005.8350219726562,-413.11202073099105,0,375.0,0.0,412.54952073099105
2,0,1,0.0,4,1001.1159375000001,1003.625,-2509.0624999999136,0,1000.0,0.0,2509.0624999999136
3,0,1,750.0,1,1005.266335144043,1005.89501953125,-157.17109680176122,0,250.0,0.0,157.17109680176122
3,1,2,0.0,4,1003.9460979309082,1005.89501953125,-1462.0662002563538,0,750.0,0.0,1461.6912002563538
4,0,1,500.0,2,998.5752309417725,999.8250122070312,-624.8906326293877,0,500.0,0.0,624.8906326293877
4,1,2,250.0,2,999.175044052124,999.9249877929688,-162.7420387268105,0,250.0,0.0,187.4859352111855
4,2,3,0.0,4,999.1225503730774,999.9349975585938,-175.8654584884655,0,250.0,0.0,203.1117963790905
