episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-1517.2267473004179,1514.1533273785426,1,0.0,1.0,7,tabular_q_train,0
1,-1539.0777645038334,1538.9587645038334,1,0.0,0.9988125,2,tabular_q_train,0
2,-952.9035285729162,952.7133619062496,1,0.0,0.997625,3,tabular_q_train,0
3,-1418.0356191663802,1417.9284524997136,1,0.0,0.9964375,2,tabular_q_train,0
4,-1888.9757787303365,1891.1854281443989,1,0.0,0.99525,7,tabular_q_train,0
5,-1710.9173878676177,1710.7863878676176,1,0.0,0.9940625,2,tabular_q_train,0
6,-1425.2087043932277,1414.246520148436,1,0.0,0.992875,6,tabular_q_train,0
7,-1887.4275387930552,1888.7586019440967,1,0.0,0.9916875,8,tabular_q_train,0
8,-1146.3333622821965,1070.7943919045924,1,0.0,0.9905,3,tabular_q_train,0
9,-926.0402500288343,925.7472207319595,1,0.0,0.9893125,10,tabular_q_train,0
10,-1320.2679951985888,1320.1846618652553,1,0.0,0.988125,2,tabular_q_train,0
11,-669.8886722038405,669.1878388705072,1,0.0,0.9869375,5,tabular_q_train,0
12,-1402.0674725655056,1416.2801283272242,1,0.0,0.98575,2,tabular_q_train,0
13,-1344.698885763005,1344.6037190963384,1,0.0,0.9845625,2,tabular_q_train,0
14,-2179.9741023306456,2179.926268997312,1,0.0,0.983375,7,tabular_q_train,0
15,-903.8405991898884,903.1469325232218,1,0.0,0.9821875,7,tabular_q_train,0
16,-947.3607714280508,952.1227274827384,1,0.0,0.981,7,tabular_q_train,0
17,-1333.173417528498,1332.5454486157378,1,0.0,0.9798125,6,tabular_q_train,0
18,-910.4106199286373,909.823286595304,1,0.0,0.978625,4,tabular_q_train,0
19,-2198.1564793933157,2198.1424793933156,1,0.0,0.9774375,4,tabular_q_train,0
20,-1501.7058195381196,1503.1112106514008,1,0.0,0.97625,6,tabular_q_train,0
21,-1000.3005527544033,999.8440527544033,1,0.0,0.9750625,12,tabular_q_train,0
22,-958.5915558608601,942.5141878595581,1,0.0,0.973875,7,tabular_q_train,0
23,-1908.6872346108298,1905.753463614736,1,0.0,0.9726875,4,tabular_q_train,0
24,-2509.829142252522,2509.6624755858556,1,0.0,0.9715,2,tabular_q_train,0
25,-716.9722888990831,716.0799897454374,1,0.0,0.9703125,12,tabular_q_train,0
26,-1917.0155469187505,1916.9899046661467,1,0.0,0.969125,7,tabular_q_train,0
27,-1687.7974965929718,1687.7165283312527,1,0.0,0.9679375,7,tabular_q_train,0
28,-1909.8939467674036,1895.0758696189664,1,0.0,0.96675,9,tabular_q_train,0
29,-1055.8090346490126,1035.8466163547419,1,0.0,0.9655625,11,tabular_q_train,0
30,-1365.9585305086357,1367.1654232495212,1,0.0,0.964375,8,tabular_q_train,0
