episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-57.39480067713691,51.397267917835165,-51.397267917835165,5.99753275930174,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
1,-76.14288709342532,76.14288709342532,-76.14288709342532,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
2,-100.35329661168646,100.35329661168646,-100.35329661168646,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
3,-68.58476148651283,60.594143149600654,-60.594143149600654,7.990618336912184,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
4,-104.91090192767416,104.91090192767416,-104.91090192767416,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
5,-50.39989984171,47.396562693814204,-47.396562693814204,3.0033371478957984,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
6,-57.031772738966424,57.031772738966424,-57.031772738966424,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
7,-97.61558209844813,84.39885049834446,-84.39885049834446,13.216731600103664,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
8,-52.155538899697035,49.1619778282999,-49.1619778282999,2.993561071397134,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
9,-52.61125326798462,48.60501714324528,-48.60501714324528,4.006236124739343,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
10,-69.18465425041376,69.18465425041376,-69.18465425041376,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
11,-52.04269662088569,48.607227673734684,-48.607227673734684,3.4354689471510125,0.0,1,0.0,1.0,10,dqn2_is_aligned,0
12,-50.18182872971924,48.1805811572773,-48.1805811572773,2.001247572441939,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
13,-51.07121277193882,48.06492686540054,-48.06492686540054,3.006285906538282,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
14,-73.58872670634697,64.26178536094399,-64.26178536094399,9.326941345402998,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
15,-57.591072040727965,49.55879303216908,-49.55879303216908,8.032279008558888,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
16,-87.72672839703358,84.99896569206393,-84.99896569206393,2.72776270496965,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
17,-76.8021034520296,74.3104576871896,-74.3104576871896,2.491645764839994,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
18,-53.20628541158014,50.208677602672225,-50.208677602672225,2.997607808907918,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
19,-64.18815137164701,60.181224592767535,-60.181224592767535,4.006926778879479,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
20,-81.16148658220806,79.11052246737626,-79.11052246737626,2.0509641148317925,0.0,1,0.0,1.0,7,dqn2_is_aligned,0
21,-61.284232807641054,57.28561879023175,-57.28561879023175,3.9986140174093054,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
22,-55.07916802099255,48.32084304927258,-48.32084304927258,6.75832497171996,0.0,1,0.0,1.0,9,dqn2_is_aligned,0
23,-76.60032752801007,71.35996249278188,-71.35996249278188,5.240365035228187,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
24,-53.23943807355391,53.23943807355391,-53.23943807355391,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
