episode,episode_reward,episode_is,episode_env_reward,episode_hold_penalty,episode_leftover_penalty,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-29.835656186117752,14.841824287863403,-14.841824287863403,14.993831898254351,0.0,1,0.0,1.0,6,dqn2_is_aligned,0
1,-19.914978503457963,16.921103483646505,-16.921103483646505,2.9938750198114574,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
2,-26.60639737586984,20.62130448471322,-20.62130448471322,5.9850928911566195,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
3,-22.721150089629774,13.731704460603567,-13.731704460603567,8.989445629026207,0.0,1,0.0,1.0,4,dqn2_is_aligned,0
4,-26.863060750170465,14.841015770755916,-14.841015770755916,12.022044979414549,0.0,1,0.0,1.0,5,dqn2_is_aligned,0
5,-14.854651618328774,14.854651618328774,-14.854651618328774,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
6,-15.384264806336034,15.384264806336034,-15.384264806336034,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
7,-25.33572942940249,19.34989084239902,-19.34989084239902,5.98583858700347,0.0,1,0.0,1.0,3,dqn2_is_aligned,0
8,-15.524029848670295,15.524029848670295,-15.524029848670295,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
9,-15.840128257501362,15.840128257501362,-15.840128257501362,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
10,-17.257003945091775,14.259433816910416,-14.259433816910416,2.997570128181359,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
11,-16.956838116527706,16.956838116527706,-16.956838116527706,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
12,-14.617528810617841,14.617528810617841,-14.617528810617841,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
13,-18.875085199292258,15.868799292753977,-15.868799292753977,3.006285906538282,0.0,1,0.0,1.0,2,dqn2_is_aligned,0
14,-18.603999141866723,18.603999141866723,-18.603999141866723,0.0,0.0,1,0.0,1.0,1,dqn2_is_aligned,0
