episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,env_reward,is_twap,executed_qty,forced_qty,step_is,hold_penalty,leftover_penalty
0,0,1,500.0,0,nan,99.95887932169568,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,1,2,500.0,0,nan,100.2,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,2,3,500.0,0,nan,100.34,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,3,4,500.0,0,nan,100.41,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,4,5,500.0,0,nan,100.41,-2.99876637965087,-0.0,0,0.0,0.0,0.0,2.99876637965087,0.0
0,5,6,0.0,1,100.41031635142427,100.44,-14.841824287863403,-14.841824287863403,0,500.0,0.0,14.841824287863403,0.0,0.0
1,0,1,500.0,0,nan,99.79583399371525,-2.9938750198114574,-0.0,0,0.0,0.0,0.0,2.9938750198114574,0.0
1,1,2,0.0,1,99.92615779303271,99.96000000000001,-16.921103483646505,-16.921103483646505,0,500.0,0.0,16.921103483646505,0.0,0.0
2,0,1,500.0,0,nan,99.75154818594366,-2.9925464455783097,-0.0,0,0.0,0.0,0.0,2.9925464455783097,0.0
2,1,2,500.0,0,nan,99.67,-2.9925464455783097,-0.0,0,0.0,0.0,0.0,2.9925464455783097,0.0
2,2,3,0.0,1,99.53875739103057,99.58,-20.62130448471322,-20.62130448471322,0,500.0,0.0,20.62130448471322,0.0,0.0
3,0,1,500.0,0,nan,99.88272921140229,-2.996481876342069,-0.0,0,0.0,0.0,0.0,2.996481876342069,0.0
3,1,2,500.0,0,nan,100.08,-2.996481876342069,-0.0,0,0.0,0.0,0.0,2.996481876342069,0.0
3,2,3,500.0,0,nan,100.16,-2.996481876342069,-0.0,0,0.0,0.0,0.0,2.996481876342069,0.0
3,3,4,0.0,1,100.0925365910788,100.12,-13.731704460603567,-13.731704460603567,0,500.0,0.0,13.731704460603567,0.0,0.0
4,0,1,500.0,0,nan,100.1837081617879,-3.005511244853637,-0.0,0,0.0,0.0,0.0,3.005511244853637,0.0
4,1,2,500.0,0,nan,100.09,-3.005511244853637,-0.0,0,0.0,0.0,0.0,3.005511244853637,0.0
4,2,3,500.0,0,nan,100.05,-3.005511244853637,-0.0,0,0.0,0.0,0.0,3.005511244853637,0.0
4,3,4,500.0,0,nan,99.94,-3.005511244853637,-0.0,0,0.0,0.0,0.0,3.005511244853637,0.0
4,4,5,0.0,1,99.8203179684585,99.85000000000001,-14.841015770755916,-14.841015770755916,0,500.0,0.0,14.841015770755916,0.0,0.0
5,0,1,0.0,1,100.08152895995663,100.11123826319329,-14.854651618328774,-14.854651618328774,0,500.0,0.0,14.854651618328774,0.0,0.0
6,0,1,0.0,1,100.11294106668366,100.14370959629633,-15.384264806336034,-15.384264806336034,0,500.0,0.0,15.384264806336034,0.0,0.0
7,0,1,500.0,0,nan,99.76397645005784,-2.992919293501735,-0.0,0,0.0,0.0,0.0,2.992919293501735,0.0
7,1,2,500.0,0,nan,99.68,-2.992919293501735,-0.0,0,0.0,0.0,0.0,2.992919293501735,0.0
7,2,3,0.0,1,99.5213002183152,99.56,-19.34989084239902,-19.34989084239902,0,500.0,0.0,19.34989084239902,0.0,0.0
8,0,1,0.0,1,99.7543209868738,99.78536904657113,-15.524029848670295,-15.524029848670295,0,500.0,0.0,15.524029848670295,0.0,0.0
9,0,1,0.0,1,100.12422286196856,100.15590311848356,-15.840128257501362,-15.840128257501362,0,500.0,0.0,15.840128257501362,0.0,0.0
10,0,1,500.0,0,nan,99.91900427271197,-2.997570128181359,-0.0,0,0.0,0.0,0.0,2.997570128181359,0.0
10,1,2,0.0,1,99.92148113236618,99.95,-14.259433816910416,-14.259433816910416,0,500.0,0.0,14.259433816910416,0.0,0.0
11,0,1,0.0,1,100.06716287245615,100.1010765486892,-16.956838116527706,-16.956838116527706,0,500.0,0.0,16.956838116527706,0.0,0.0
12,0,1,0.0,1,100.03314356447571,100.06237862209694,-14.617528810617841,-14.617528810617841,0,500.0,0.0,14.617528810617841,0.0,0.0
13,0,1,500.0,0,nan,100.20953021794273,-3.006285906538282,-0.0,0,0.0,0.0,0.0,3.006285906538282,0.0
13,1,2,0.0,1,100.21826240141449,100.25,-15.868799292753977,-15.868799292753977,0,500.0,0.0,15.868799292753977,0.0,0.0
14,0,1,0.0,1,99.69484231611959,99.73205031440332,-18.603999141866723,-18.603999141866723,0,500.0,0.0,18.603999141866723,0.0,0.0
15,0,1,0.0,1,99.7730939796567,99.80465964909155,-15.782834717427363,-15.782834717427363,0,500.0,0.0,15.782834717427363,0.0,0.0
16,0,1,500.0,0,nan,99.99130150182002,-2.9997390450546004,-0.0,0,0.0,0.0,0.0,2.9997390450546004,0.0
16,1,2,0.0,1,99.91783952989634,99.95,-16.080235051830982,-16.080235051830982,0,500.0,0.0,16.080235051830982,0.0,0.0
17,0,1,500.0,0,nan,99.82555147596129,-2.9947665442788387,-0.0,0,0.0,0.0,0.0,2.9947665442788387,0.0
17,1,2,0.0,1,99.57737290024735,99.61,-16.313549876322497,-16.313549876322497,0,500.0,0.0,16.313549876322497,0.0,0.0
18,0,1,0.0,1,99.8816841621719,99.92026029693059,-19.288067379349627,-19.288067379349627,0,500.0,0.0,19.288067379349627,0.0,0.0
19,0,1,0.0,1,100.13499773511288,100.17316947198698,-19.08586843705251,-19.08586843705251,0,500.0,0.0,19.08586843705251,0.0,0.0
20,0,1,0.0,1,100.11131684881835,100.14473216952113,-16.707660351393372,-16.707660351393372,0,500.0,0.0,16.707660351393372,0.0,0.0
21,0,1,0.0,1,99.93567921972758,99.96535043523264,-14.835607752530677,-14.835607752530677,0,500.0,0.0,14.835607752530677,0.0,0.0
22,0,1,500.0,0,nan,99.97522147514734,-2.99925664425442,-0.0,0,0.0,0.0,0.0,2.99925664425442,0.0
22,1,2,500.0,0,nan,100.10000000000001,-2.99925664425442,-0.0,0,0.0,0.0,0.0,2.99925664425442,0.0
22,2,3,500.0,0,nan,100.06,-2.99925664425442,-0.0,0,0.0,0.0,0.0,2.99925664425442,0.0
22,3,4,0.0,1,100.08026791499907,100.11,-14.866042500464971,-14.866042500464971,0,500.0,0.0,14.866042500464971,0.0,0.0
23,0,1,0.0,1,99.8254873517879,99.85451667736636,-14.514662789231636,-14.514662789231636,0,500.0,0.0,14.514662789231636,0.0,0.0
24,0,1,0.0,1,100.05929751832363,100.09106924031934,-15.885860997855161,-15.885860997855161,0,500.0,0.0,15.885860997855161,0.0,0.0
25,0,1,0.0,1,99.96650756283292,99.99616924283636,-14.830840001721413,-14.830840001721413,0,500.0,0.0,14.830840001721413,0.0,0.0
26,0,1,0.0,1,100.06033543988795,100.08832524156226,-13.99490083715449,-13.99490083715449,0,500.0,0.0,13.99490083715449,0.0,0.0
27,0,1,0.0,1,100.35782607875431,100.38610347849458,-14.138699870130722,-14.138699870130722,0,500.0,0.0,14.138699870130722,0.0,0.0
28,0,1,0.0,1,100.14083733656493,100.17251320007585,-15.83793175546333,-15.83793175546333,0,500.0,0.0,15.83793175546333,0.0,0.0
29,0,1,0.0,1,99.93245941056651,99.96052995756295,-14.035273498222978,-14.035273498222978,0,500.0,0.0,14.035273498222978,0.0,0.0
30,0,1,500.0,0,nan,99.80288719655933,-2.9940866158967796,-0.0,0,0.0,0.0,0.0,2.9940866158967796,0.0
