episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-27.7565327973944,27.335653305513574,1,0.0,1.0,3,dqn,0
1,-37.324357609362835,37.324357609362835,1,0.0,1.0,1,dqn,0
2,-48.555961297307704,48.555961297307704,1,0.0,1.0,1,dqn,0
3,-30.352055770558962,29.931496910721478,1,0.0,1.0,3,dqn,0
4,-50.69591028432683,50.69591028432683,1,0.0,1.0,1,dqn,0
5,-24.759663736058712,24.759663736058712,1,0.0,1.0,2,dqn,0
6,-28.507364614769415,28.507364614769415,1,0.0,1.0,1,dqn,0
7,-66.08435171632361,63.56399862705899,1,0.0,1.0,5,dqn,0
8,-26.9218269290576,26.9218269290576,1,0.0,1.0,1,dqn,0
9,-24.746648677378857,24.746648677378857,1,0.0,1.0,1,dqn,0
10,-27.98116985678263,27.98116985678263,1,0.0,1.0,2,dqn,0
11,-26.426803186714665,26.426803186714665,1,0.0,1.0,1,dqn,0
12,-25.33689365723859,25.33689365723859,1,0.0,1.0,2,dqn,0
13,-29.479868025136856,29.163416877080195,1,0.0,1.0,4,dqn,0
14,-49.54516151193786,49.54516151193786,1,0.0,1.0,2,dqn,0
15,-30.850988840233107,30.210838251325953,1,0.0,1.0,7,dqn,0
16,-54.355500819951885,54.355500819951885,1,0.0,1.0,1,dqn,0
17,-40.03822894662049,39.93314941875106,1,0.0,1.0,3,dqn,0
18,-29.09146003252738,28.881101589796998,1,0.0,1.0,3,dqn,0
19,-30.643489530045542,30.643489530045542,1,0.0,1.0,1,dqn,0
20,-48.30934854474833,48.30934854474833,1,0.0,1.0,1,dqn,0
21,-27.25787179458763,27.25787179458763,1,0.0,1.0,1,dqn,0
22,-29.614278647708403,29.614278647708403,1,0.0,1.0,2,dqn,0
23,-41.66404546706701,41.66404546706701,1,0.0,1.0,2,dqn,0
24,-32.18682788474655,30.679491501660763,1,0.0,1.0,14,dqn,0
25,-30.660596735190925,30.55533760967215,1,0.0,1.0,3,dqn,0
26,-29.74421158921956,29.74421158921956,1,0.0,1.0,2,dqn,0
27,-58.165446820005684,58.165446820005684,1,0.0,1.0,1,dqn,0
28,-58.3610011763767,58.3610011763767,1,0.0,1.0,2,dqn,0
29,-39.059413987932885,38.954192377451236,1,0.0,1.0,3,dqn,0
30,-70.47721889917587,67.95588280157858,1,0.0,1.0,5,dqn,0
31,-54.75778986260593,54.75778986260593,1,0.0,1.0,2,dqn,0
32,-31.030833455758977,29.367219052087364,1,0.0,1.0,9,dqn,0
33,-32.62902361849456,32.62902361849456,1,0.0,1.0,1,dqn,0
34,-32.011890551383715,32.011890551383715,1,0.0,1.0,2,dqn,0
35,-77.1840104722358,77.1840104722358,1,0.0,1.0,1,dqn,0
36,-32.39704158957737,29.829474089852297,1,14.067944367726644,0.99905,9,dqn,0
37,-29.936105967273363,29.936105967273363,1,13.972818374633789,0.9987333333333334,2,dqn,0
38,-30.968303582640964,30.547165504729534,1,12.62759804725647,0.9981,4,dqn,0
39,-29.90568024799387,29.90568024799387,1,12.221756935119629,0.9979416666666666,1,dqn,0
40,-44.60647939081663,44.3965529634994,1,12.427944819132486,0.9974666666666666,3,dqn,0
41,-38.61806119707424,38.512767592882824,1,13.373335520426432,0.9969916666666667,3,dqn,0
42,-50.08425866851525,50.08425866851525,1,16.93349838256836,0.9968333333333333,1,dqn,0
43,-36.04485887933313,35.623383506941764,1,13.766622225443522,0.9963583333333333,3,dqn,0
44,-48.35185064972204,46.877989033858825,1,12.555518531799317,0.9955666666666667,5,dqn,0
45,-26.416067884987626,26.416067884987626,1,11.080588340759277,0.9954083333333333,1,dqn,0
46,-30.805991109499516,30.595183117984703,1,13.325862566630045,0.9949333333333333,3,dqn,0
47,-63.65686048439443,63.65686048439443,1,14.261388778686523,0.9946166666666667,2,dqn,0
48,-37.36695231686582,37.36695231686582,1,15.256747245788574,0.9944583333333333,1,dqn,0
49,-52.399524840913614,52.399524840913614,1,13.390666484832764,0.9941416666666667,2,dqn,0
50,-53.184932103997085,53.184932103997085,1,14.185056686401367,0.9939833333333333,1,dqn,0
51,-27.80586819152787,27.38614931019896,1,14.500232060750326,0.9935083333333333,3,dqn,0
52,-30.361929737853636,30.071973510706542,1,14.089702796936034,0.9927166666666667,5,dqn,0
53,-47.420146118659545,47.420146118659545,1,13.74138593673706,0.9924,2,dqn,0
54,-41.09252678354497,39.40974808148887,1,13.535625775655111,0.99145,6,dqn,0
55,-70.23162529270621,70.23162529270621,1,14.787657737731934,0.9912916666666667,1,dqn,0
56,-36.16659708161476,36.06159599354548,1,14.027198791503906,0.9908166666666667,3,dqn,0
57,-30.2656620156949,30.160625679673814,1,11.653547286987305,0.9903416666666667,3,dqn,0
58,-44.92550273360649,44.92550273360649,1,11.408829689025879,0.990025,2,dqn,0
59,-31.71394900342175,31.50498075339233,1,12.070873260498047,0.9893916666666667,4,dqn,0
60,-31.391615357668215,29.763819295467286,1,10.711772782461983,0.9882833333333333,7,dqn,0
61,-44.61317398754687,44.61317398754687,1,13.558058738708496,0.988125,1,dqn,0
62,-51.886353016186604,51.886353016186604,1,12.356814861297607,0.9878083333333333,2,dqn,0
63,-26.31302373174549,26.31302373174549,1,8.935492515563965,0.98765,1,dqn,0
64,-36.94413027485635,29.471680336562045,1,11.497995297114054,0.98575,12,dqn,0
65,-31.88902985286339,31.78367421704138,1,9.31228494644165,0.985275,3,dqn,0
66,-29.624093724094024,29.413687916822084,1,10.000776926676432,0.9848,3,dqn,0
67,-42.850837366729166,42.850837366729166,1,9.63035535812378,0.9844833333333334,2,dqn,0
68,-26.370678718812712,26.370678718812712,1,10.012628555297852,0.984325,1,dqn,0
69,-24.018899119111836,24.018899119111836,1,9.804780006408691,0.9841666666666666,1,dqn,0
70,-70.38453834628342,70.38453834628342,1,9.733153343200684,0.98385,2,dqn,0
71,-26.96718770843347,26.96718770843347,1,7.2892351150512695,0.9836916666666666,1,dqn,0
72,-62.68576168645553,62.264450096111545,1,10.28921381632487,0.9832166666666666,3,dqn,0
73,-31.132640474129705,30.2912682524763,1,10.185905933380127,0.9825833333333334,4,dqn,0
74,-44.82686861298504,44.82686861298504,1,8.485254049301147,0.9822666666666666,2,dqn,0
75,-30.408453490878884,30.408453490878884,1,9.119830131530762,0.98195,2,dqn,0
76,-32.918876056419336,31.295115224232063,1,9.272833943367004,0.9806833333333334,8,dqn,0
77,-35.40892728283009,33.31113974537914,1,8.594753424326578,0.9797333333333333,6,dqn,0
78,-32.66199845311209,31.45946549867631,1,8.634859357561384,0.978625,7,dqn,0
79,-31.980343389227265,30.505176349218033,1,7.0772065162658695,0.9778333333333333,5,dqn,0
