episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,300.0,0,nan,99.95887932169568,-0.0,0,0.0,0.0,0.0
0,1,2,300.0,0,nan,100.2,-0.4208794918808239,0,0.0,0.0,0.0
0,2,3,0.0,2,100.24888115564829,100.34,-27.335653305513574,0,300.0,0.0,27.335653305513574
1,0,1,0.0,2,99.6714194683507,99.79583399371525,-37.324357609362835,0,300.0,0.0,37.324357609362835
2,0,1,0.0,2,99.5896949816193,99.75154818594366,-48.555961297307704,0,300.0,0.0,48.555961297307704
3,0,1,300.0,0,nan,99.88272921140229,-0.0,0,0.0,0.0,0.0
3,1,2,300.0,0,nan,100.08,-0.4205588598374833,0,0.0,0.0,0.0
3,2,3,0.0,2,100.06022834363092,100.16,-29.931496910721478,0,300.0,0.0,29.931496910721478
4,0,1,0.0,2,100.01472179417348,100.1837081617879,-50.69591028432683,0,300.0,0.0,50.69591028432683
5,0,1,300.0,0,nan,100.11123826319329,-0.0,0,0.0,0.0,0.0
5,1,2,0.0,2,100.03746778754648,100.12,-24.759663736058712,0,300.0,0.0,24.759663736058712
6,0,1,0.0,2,100.04868504758043,100.14370959629633,-28.507364614769415,0,300.0,0.0,28.507364614769415
7,0,1,300.0,0,nan,99.76397645005784,-0.0,0,0.0,0.0,0.0
7,1,2,300.0,0,nan,99.68,-0.42005884821076983,0,0.0,0.0,0.0
7,2,3,300.0,0,nan,99.56,-0.8401176964215397,0,0.0,0.0,0.0
7,3,4,300.0,0,nan,99.44,-1.2601765446323094,0,0.0,0.0,0.0
7,4,5,0.0,2,99.05812000457647,99.27,-63.56399862705899,0,300.0,0.0,63.56399862705899
8,0,1,0.0,2,99.69562962347428,99.78536904657113,-26.9218269290576,0,300.0,0.0,26.9218269290576
9,0,1,0.0,2,100.07341428955897,100.15590311848356,-24.746648677378857,0,300.0,0.0,24.746648677378857
10,0,1,300.0,0,nan,99.91900427271197,-0.0,0,0.0,0.0,0.0
10,1,2,0.0,2,99.85672943381073,99.95,-27.98116985678263,0,300.0,0.0,27.98116985678263
11,0,1,0.0,2,100.01298720473349,100.1010765486892,-26.426803186714665,0,300.0,0.0,26.426803186714665
12,0,1,300.0,0,nan,100.06237862209694,-0.0,0,0.0,0.0,0.0
12,1,2,0.0,2,100.0755436878092,100.16,-25.33689365723859,0,300.0,0.0,25.33689365723859
13,0,1,150.0,1,100.15328634824432,100.20953021794273,-8.4365804547609,0,150.0,0.0,8.4365804547609
13,1,2,75.0,1,90.58920851547042,90.71000000000001,-9.16484505573816,0,75.0,0.0,9.059361339719274
13,2,3,75.0,0,nan,86.35000000000001,-0.21096743203777416,0,0.0,0.0,0.0
13,3,4,0.0,2,86.31443366556533,86.47,-11.66747508260002,0,75.0,0.0,11.66747508260002
14,0,1,300.0,0,nan,99.73205031440332,-0.0,0,0.0,0.0,0.0
14,1,2,0.0,2,99.36484946162687,99.53,-49.54516151193786,0,300.0,0.0,49.54516151193786
15,0,1,150.0,1,99.7443322197839,99.80465964909155,-9.049114396147218,0,150.0,0.0,9.049114396147218
15,1,2,75.0,1,90.39907517699608,90.52,-9.174419261766573,0,75.0,0.0,9.069361725293845
15,2,3,75.0,0,nan,86.4,-0.2101150729454559,0,0.0,0.0,0.0
15,3,4,37.0,1,86.22739731078448,86.38,-5.954387344169132,0,38.0,0.0,5.798902190189494
15,4,5,19.0,1,84.20636649329852,84.37,-3.051861424252462,0,18.0,0.0,2.9454031206267643
15,5,6,9.0,1,83.32782466937671,83.5,-1.784787828116535,0,10.0,0.0,1.7217533062328982
15,6,7,0.0,2,82.96929960968492,83.15,-1.626303512835733,0,9.0,0.0,1.626303512835733
16,0,1,0.0,2,99.81011649908685,99.99130150182002,-54.355500819951885,0,300.0,0.0,54.355500819951885
17,0,1,150.0,1,99.72018324743391,99.82555147596129,-15.805234279107339,0,150.0,0.0,15.805234279107339
17,1,2,75.0,1,89.98077311494748,90.13,-11.297095906807952,0,75.0,0.0,11.192016378938519
17,2,3,0.0,2,85.53752134985727,85.71000000000001,-12.9358987607052,0,75.0,0.0,12.9358987607052
18,0,1,300.0,0,nan,99.92026029693059,-0.0,0,0.0,0.0,0.0
18,1,2,150.0,1,99.9487864145054,100.01,-9.392396266920228,0,150.0,0.0,9.182037824189848
18,2,3,0.0,2,90.55867290822928,90.69,-19.69906376560715,0,150.0,0.0,19.69906376560715
19,0,1,0.0,2,100.07102450688683,100.17316947198698,-30.643489530045542,0,300.0,0.0,30.643489530045542
20,0,1,0.0,2,99.9837010077053,100.14473216952113,-48.30934854474833,0,300.0,0.0,48.30934854474833
21,0,1,0.0,2,99.87449086258401,99.96535043523264,-27.25787179458763,0,300.0,0.0,27.25787179458763
22,0,1,150.0,1,99.91569931923907,99.97522147514734,-8.928323386240322,0,150.0,0.0,8.928323386240322
22,1,2,0.0,2,90.43209363159022,90.57000000000001,-20.68595526146808,0,150.0,0.0,20.68595526146808
23,0,1,150.0,1,99.75227682497807,99.85451667736636,-15.33597785824412,0,150.0,0.0,15.33597785824412
23,1,2,0.0,2,90.17447954927452,90.35000000000001,-26.32806760882289,0,150.0,0.0,26.32806760882289
24,0,1,300.0,0,nan,100.09106924031934,-0.0,0,0.0,0.0,0.0
24,1,2,150.0,1,100.18457541626421,100.25,-10.024405600874513,0,150.0,0.0,9.813687560368578
24,2,3,150.0,0,nan,90.8,-0.4214360810118709,0,0.0,0.0,0.0
24,3,4,75.0,1,90.77310272331736,90.89,-9.083372811956583,0,75.0,0.0,8.767295751197679
24,4,5,37.0,1,86.43710434555882,86.59,-6.01794333539741,0,38.0,0.0,5.8100348687648875
24,5,6,19.0,1,84.33446521633132,84.5,-3.1130808650232566,0,18.0,0.0,2.9796261060361644
24,6,7,9.0,1,83.36002265950954,83.53,-1.7756318994867555,0,10.0,0.0,1.6997734049046187
24,7,8,5.0,1,82.93005130480367,83.11,-0.7689623235700394,0,4.0,0.0,0.7197947807853211
24,8,9,3.0,1,82.87411579448171,83.05,-0.3854832975175232,0,2.0,0.0,0.3517684110365735
24,9,10,1.0,1,82.79977385920971,82.98,-0.3730953640109483,0,2.0,0.0,0.36045228158059217
24,10,11,1.0,0,nan,82.92,-0.014047869367062366,0,0.0,0.0,0.0
24,11,12,1.0,0,nan,83.01,-0.015452656303768601,0,0.0,0.0,0.0
24,12,13,1.0,0,nan,83.11,-0.016857443240474838,0,0.0,0.0,0.0
24,13,14,0.0,2,83.14294166301366,83.32000000000001,-0.17705833698634876,0,1.0,0.0,0.17705833698634876
25,0,1,150.0,1,99.9331224609911,99.99616924283636,-9.457017276788804,0,150.0,0.0,9.457017276788804
25,1,2,75.0,1,90.52303901462882,90.65,-9.627333028357587,0,75.0,0.0,9.522073902838812
25,2,3,0.0,2,86.30565004759941,86.46000000000001,-11.576246430044534,0,75.0,0.0,11.576246430044534
26,0,1,300.0,0,nan,100.08832524156226,-0.0,0,0.0,0.0,0.0
26,1,2,0.0,2,100.15085262803593,100.25,-29.74421158921956,0,300.0,0.0,29.74421158921956
