episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-23.730713176752293,14.841824287863403,1,0.0,1.0,6,dqn,0
1,-16.921103483646505,16.921103483646505,1,0.0,1.0,2,dqn,0
2,-21.51019337360211,20.62130448471322,1,0.0,1.0,3,dqn,0
3,-16.398371127270234,13.731704460603567,1,0.0,1.0,4,dqn,0
4,-20.17434910408925,14.841015770755916,1,0.0,1.0,5,dqn,0
5,-14.854651618328774,14.854651618328774,1,0.0,1.0,1,dqn,0
6,-15.384264806336034,15.384264806336034,1,0.0,1.0,1,dqn,0
7,-20.23877973128791,19.34989084239902,1,0.0,1.0,3,dqn,0
8,-15.524029848670295,15.524029848670295,1,0.0,1.0,1,dqn,0
9,-15.840128257501362,15.840128257501362,1,0.0,1.0,1,dqn,0
10,-14.259433816910416,14.259433816910416,1,0.0,1.0,2,dqn,0
11,-16.956838116527706,16.956838116527706,1,0.0,1.0,1,dqn,0
12,-14.617528810617841,14.617528810617841,1,0.0,1.0,1,dqn,0
13,-15.868799292753977,15.868799292753977,1,0.0,1.0,2,dqn,0
14,-18.603999141866723,18.603999141866723,1,0.0,1.0,1,dqn,0
15,-15.782834717427363,15.782834717427363,1,0.0,1.0,1,dqn,0
16,-16.080235051830982,16.080235051830982,1,0.0,1.0,2,dqn,0
17,-16.313549876322497,16.313549876322497,1,0.0,1.0,2,dqn,0
18,-19.288067379349627,19.288067379349627,1,0.0,1.0,1,dqn,0
19,-19.08586843705251,19.08586843705251,1,0.0,1.0,1,dqn,0
20,-16.707660351393372,16.707660351393372,1,0.0,1.0,1,dqn,0
21,-14.835607752530677,14.835607752530677,1,0.0,1.0,1,dqn,0
22,-17.53270916713164,14.866042500464971,1,0.0,1.0,4,dqn,0
23,-14.514662789231636,14.514662789231636,1,0.0,1.0,1,dqn,0
24,-15.885860997855161,15.885860997855161,1,0.0,1.0,1,dqn,0
25,-14.830840001721413,14.830840001721413,1,0.0,1.0,1,dqn,0
26,-13.99490083715449,13.99490083715449,1,0.0,1.0,1,dqn,0
27,-14.138699870130722,14.138699870130722,1,0.0,1.0,1,dqn,0
28,-15.83793175546333,15.83793175546333,1,0.0,1.0,1,dqn,0
29,-14.035273498222978,14.035273498222978,1,0.0,1.0,1,dqn,0
30,-23.736531425937844,14.847642537048955,1,0.0,1.0,6,dqn,0
31,-15.849291769200136,15.849291769200136,1,0.0,1.0,1,dqn,0
32,-14.600177299108452,14.600177299108452,1,0.0,1.0,2,dqn,0
33,-16.077151707939663,16.077151707939663,1,8.54948902130127,0.9996833333333334,1,dqn,0
34,-14.707697307215994,14.707697307215994,1,8.742752075195312,0.9993666666666666,1,dqn,0
35,-15.400218661568488,15.400218661568488,1,8.689666748046875,0.99905,1,dqn,0
36,-15.077539233473658,15.077539233473658,1,8.525606632232666,0.9984166666666666,2,dqn,0
37,-20.759080373821934,15.425747040488602,1,8.203898239135743,0.9968333333333333,5,dqn,0
38,-16.030816632735423,16.030816632735423,1,7.881146430969238,0.9965166666666667,1,dqn,0
39,-13.118871277768562,13.118871277768562,1,8.26163625717163,0.9958833333333333,2,dqn,0
40,-16.853332297952345,14.186665631285678,1,7.776382803916931,0.9946166666666667,4,dqn,0
41,-17.819284407941893,17.819284407941893,1,8.997153282165527,0.9943,1,dqn,0
42,-18.11864000731589,18.11864000731589,1,7.732912540435791,0.9939833333333333,1,dqn,0
43,-17.312868599333342,17.312868599333342,1,7.479881286621094,0.9936666666666667,1,dqn,0
44,-13.609777729165273,13.609777729165273,1,7.925919532775879,0.9930333333333333,2,dqn,0
45,-17.564647380682036,16.675758491793147,1,7.791614532470703,0.9920833333333333,3,dqn,0
46,-16.338918093353527,16.338918093353527,1,8.062686920166016,0.9917666666666667,1,dqn,0
47,-17.862996931995667,17.862996931995667,1,7.775947093963623,0.99145,1,dqn,0
48,-18.78133092405676,18.78133092405676,1,8.153736114501953,0.9911333333333333,1,dqn,0
49,-15.96177218240058,15.96177218240058,1,7.594513893127441,0.9908166666666667,1,dqn,0
50,-17.17089184195686,17.17089184195686,1,7.305807590484619,0.9905,1,dqn,0
51,-14.068263638826295,14.068263638826295,1,8.091029644012451,0.9898666666666667,2,dqn,0
52,-18.177785548658676,18.177785548658676,1,8.053298711776733,0.9892333333333333,2,dqn,0
53,-14.330516745751254,14.330516745751254,1,7.9926533699035645,0.9886,2,dqn,0
54,-16.423281737736772,16.423281737736772,1,7.592204570770264,0.9882833333333333,1,dqn,0
55,-16.003434194283134,15.114545305394245,1,7.484483400980632,0.9873333333333333,3,dqn,0
56,-15.031960283330648,15.031960283330648,1,7.164258003234863,0.9870166666666667,1,dqn,0
57,-14.785169984101287,14.785169984101287,1,7.536296844482422,0.9863833333333334,2,dqn,0
58,-17.61615499349034,17.61615499349034,1,6.487789630889893,0.9860666666666666,1,dqn,0
59,-16.526530159126196,16.526530159126196,1,7.600855350494385,0.98575,1,dqn,0
60,-17.075339989649347,14.408673322982679,1,7.121203184127808,0.9844833333333334,4,dqn,0
61,-17.543841151834272,17.543841151834272,1,7.578939914703369,0.98385,2,dqn,0
62,-14.297273420858403,14.297273420858403,1,6.307061433792114,0.9832166666666666,2,dqn,0
63,-15.238372311173976,15.238372311173976,1,6.075585842132568,0.9829,1,dqn,0
64,-14.748977902578847,13.860089013689958,1,6.372915426890056,0.98195,3,dqn,0
65,-17.826669643625337,17.826669643625337,1,6.009643077850342,0.9816333333333334,1,dqn,0
66,-15.929912436696725,15.929912436696725,1,6.241108179092407,0.981,2,dqn,0
67,-14.034098500381731,14.034098500381731,1,6.14664626121521,0.9803666666666667,2,dqn,0
68,-14.476320214761529,14.476320214761529,1,5.901202201843262,0.98005,1,dqn,0
69,-13.942072146306828,13.942072146306828,1,5.194336414337158,0.9797333333333333,1,dqn,0
70,-22.46309151363649,17.129758180303156,1,5.221955299377441,0.97815,5,dqn,0
71,-19.554425789699792,19.554425789699792,1,5.122876882553101,0.9775166666666667,2,dqn,0
72,-14.002730243582562,14.002730243582562,1,4.792079448699951,0.9768833333333333,2,dqn,0
73,-15.710775263251264,15.710775263251264,1,4.319561004638672,0.97625,2,dqn,0
74,-15.254610312510408,15.254610312510408,1,4.152927398681641,0.9759333333333333,1,dqn,0
75,-16.03029915900578,16.03029915900578,1,4.024165511131287,0.9753000000000001,2,dqn,0
76,-14.796397152061047,14.796397152061047,1,3.5864453315734863,0.9749833333333333,1,dqn,0
77,-16.393474917151707,16.393474917151707,1,3.437152862548828,0.9746666666666667,1,dqn,0
78,-24.71706403492252,15.82817514603363,1,2.9009875059127808,0.9727666666666667,6,dqn,0
79,-15.535005311129169,15.535005311129169,1,2.426145553588867,0.97245,1,dqn,0
80,-17.01586744902528,17.01586744902528,1,2.299860119819641,0.9718166666666667,2,dqn,0
81,-14.981123978493827,14.981123978493827,1,1.9067577123641968,0.9715,1,dqn,0
82,-14.48279702681532,14.48279702681532,1,1.563920021057129,0.9711833333333333,1,dqn,0
83,-15.152826097647676,15.152826097647676,1,1.0224449634552002,0.9708666666666667,1,dqn,0
84,-14.485042041592067,14.485042041592067,1,1.001785397529602,0.97055,1,dqn,0
85,-14.718509445303457,13.829620556414568,1,0.8785003622372946,0.9696,3,dqn,0
86,-14.945548586311475,14.945548586311475,1,0.7890174388885498,0.9689666666666666,2,dqn,0
87,-14.310410208409508,14.310410208409508,1,0.8444233536720276,0.96865,1,dqn,0
88,-13.764547241216007,13.764547241216007,1,0.8835214376449585,0.9683333333333334,1,dqn,0
89,-17.43711671746369,14.770450050797024,1,0.9290551841259003,0.9670666666666666,4,dqn,0
90,-16.45177869779631,13.785112031129643,1,0.8718283176422119,0.9658,4,dqn,0
91,-14.663154864457795,14.663154864457795,1,1.0565214157104492,0.9654833333333334,1,dqn,0
92,-15.553528792793259,15.553528792793259,1,0.7913246154785156,0.9651666666666666,1,dqn,0
93,-14.8018913157415,14.8018913157415,1,0.7548792958259583,0.96485,1,dqn,0
94,-17.05456732311846,14.38790065645179,1,0.8067190945148468,0.9635833333333333,4,dqn,0
95,-17.431216138298566,17.431216138298566,1,0.7977358102798462,0.9632666666666667,1,dqn,0
96,-19.637413921863356,19.637413921863356,1,0.7098636627197266,0.9626333333333333,2,dqn,0
97,-13.229888145723123,13.229888145723123,1,0.5782731175422668,0.962,2,dqn,0
98,-13.852507823153676,12.963618934264787,1,0.7149717807769775,0.96105,3,dqn,0
99,-13.845641110819429,13.845641110819429,1,0.6770853996276855,0.9607333333333333,1,dqn,0
100,-13.610096034724961,13.610096034724961,1,0.7493502795696259,0.9601,2,dqn,0
101,-14.241961510975898,14.241961510975898,1,0.6699321568012238,0.9594666666666667,2,dqn,0
102,-16.16895525300066,16.16895525300066,1,0.701029896736145,0.95915,1,dqn,0
103,-13.60200179087201,13.60200179087201,1,0.5853764414787292,0.9588333333333333,1,dqn,0
104,-15.27317892463742,15.27317892463742,1,0.7605761289596558,0.9582,2,dqn,0
105,-14.154287842856661,14.154287842856661,1,0.5287688970565796,0.9575666666666667,2,dqn,0
106,-19.46245117073886,19.46245117073886,1,0.6717551946640015,0.95725,1,dqn,0
107,-15.197566934376855,14.308678045487966,1,0.6824918985366821,0.9563,3,dqn,0
108,-16.033927000464132,16.033927000464132,1,0.739427387714386,0.9556666666666667,2,dqn,0
109,-16.697291694755595,15.808402805866706,1,0.64851842323939,0.9547166666666667,3,dqn,0
110,-15.482033023972836,14.593144135083946,1,0.5967550079027811,0.9537666666666667,3,dqn,0
111,-15.421157709361921,15.421157709361921,1,0.6468769907951355,0.9531333333333334,2,dqn,0
112,-16.444420120635073,16.444420120635073,1,0.555204302072525,0.9525,2,dqn,0
113,-15.87215833021105,15.87215833021105,1,0.6505232453346252,0.9521833333333334,1,dqn,0
114,-16.97738785158393,16.08849896269504,1,0.528696725765864,0.9512333333333334,3,dqn,0
115,-16.441512721513618,16.441512721513618,1,0.6175369024276733,0.9509166666666666,1,dqn,0
116,-15.067439772538055,14.178550883649166,1,0.5099643071492513,0.9499666666666666,3,dqn,0
117,-16.861409886303136,16.861409886303136,1,0.6370499730110168,0.94965,1,dqn,0
118,-13.542508992330227,13.542508992330227,1,0.403968870639801,0.9493333333333334,1,dqn,0
119,-15.8721162385973,15.8721162385973,1,0.6167341470718384,0.9490166666666666,1,dqn,0
120,-14.309967370181198,14.309967370181198,1,0.5504526495933533,0.9483833333333334,2,dqn,0
121,-14.049831246708777,14.049831246708777,1,0.6132087409496307,0.94775,2,dqn,0
