episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-15.371585323810777,15.371585323810777,1,0.0,1.0,2,tabular_q_train_tiny,0
1,-68.5769779986613,17.02726788742494,1,0.0,0.999525,4,tabular_q_train_tiny,0
2,-15.362115479312877,15.362115479312877,1,0.0,0.99905,1,tabular_q_train_tiny,0
3,-14.53461473370865,14.53461473370865,1,0.0,0.998575,2,tabular_q_train_tiny,0
4,-24.066966552678476,15.430439987007105,1,0.0,0.9981,3,tabular_q_train_tiny,0
5,-13.884820693659705,13.884820693659705,1,0.0,0.997625,2,tabular_q_train_tiny,0
6,-15.384264806336034,15.384264806336034,1,0.0,0.99715,1,tabular_q_train_tiny,0
7,-37.208151988164346,19.938663650947433,1,0.0,0.996675,4,tabular_q_train_tiny,0
8,-31.365071741433482,15.261777702193726,1,0.0,0.9962,4,tabular_q_train_tiny,0
9,-41.756593485083684,15.923277784178268,1,0.0,0.995725,6,tabular_q_train_tiny,0
10,-16.56705406458059,16.56705406458059,1,0.0,0.99525,1,tabular_q_train_tiny,0
11,-41.135867527825766,15.31669330078455,1,0.0,0.994775,4,tabular_q_train_tiny,0
12,-231.22581910858526,15.712158117682634,1,0.0,0.9943,6,tabular_q_train_tiny,0
13,-26.332171009712248,14.652577487758919,1,0.0,0.993825,5,tabular_q_train_tiny,0
14,-108.13288364732759,17.067204601624127,1,0.0,0.99335,7,tabular_q_train_tiny,0
15,-108.78138865580456,15.171500984932493,1,0.0,0.992875,5,tabular_q_train_tiny,0
16,-18.64933917245004,18.64933917245004,1,0.0,0.9924,2,tabular_q_train_tiny,0
17,-15.277585122937865,15.277585122937865,1,0.0,0.991925,2,tabular_q_train_tiny,0
18,-19.288067379349627,19.288067379349627,1,0.0,0.99145,1,tabular_q_train_tiny,0
19,-49.161444763376906,17.72779503251202,1,0.0,0.990975,6,tabular_q_train_tiny,0
20,-92.37137442266139,14.672875325619117,1,0.0,0.9905,5,tabular_q_train_tiny,0
21,-14.618005784154064,14.618005784154064,1,0.0,0.990025,2,tabular_q_train_tiny,0
22,-42.173805183241484,16.387092885513823,1,0.0,0.98955,4,tabular_q_train_tiny,0
23,-14.044430081096237,14.044430081096237,1,0.0,0.989075,2,tabular_q_train_tiny,0
24,-28.29670752961701,15.388411013796514,1,0.0,0.9886,4,tabular_q_train_tiny,0
25,-33.86479298004676,14.486225009538472,1,0.0,0.988125,3,tabular_q_train_tiny,0
26,-81.37483907290502,16.69707303749547,1,0.0,0.98765,4,tabular_q_train_tiny,0
27,-14.138699870130722,14.138699870130722,1,0.0,0.987175,1,tabular_q_train_tiny,0
28,-15.83793175546333,15.83793175546333,1,0.0,0.9867,1,tabular_q_train_tiny,0
