episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,125.0,3,99.92755208374648,99.95887932169568,-11.747714230949668,0,375.0,0.0,11.747714230949668
0,1,2,0.0,4,86.22100903125711,86.25,-3.6238710928611084,0,125.0,0.0,3.6238710928611084
1,0,1,500.0,0,nan,99.79583399371525,-0.0,0,0.0,0.0,0.0
1,1,2,375.0,1,99.92615820658045,99.96000000000001,-30.03949158961208,0,125.0,0.0,4.230224177444342
1,2,3,187.0,2,95.20396778828201,95.24,-32.514498502048966,0,188.0,0.0,6.774055802980342
1,3,4,0.0,4,88.50779150851872,88.54,-6.022987907000257,0,187.0,0.0,6.022987907000257
2,0,1,0.0,4,99.72082395498504,99.75154818594366,-15.362115479312877,0,500.0,0.0,15.362115479312877
3,0,1,375.0,1,99.85344539888963,99.88272921140229,-3.6604765640824155,0,125.0,0.0,3.6604765640824155
3,1,2,0.0,4,95.17100229821433,95.2,-10.874138169626235,0,375.0,0.0,10.874138169626235
4,0,1,250.0,2,100.15254075343294,100.1837081617879,-7.791852088740114,0,250.0,0.0,7.791852088740114
4,1,2,125.0,2,90.53759389136967,90.57000000000001,-12.687290144463898,0,125.0,0.0,4.050763578792527
4,2,3,0.0,4,86.09129740544421,86.12,-3.587824319474464,0,125.0,0.0,3.587824319474464
5,0,1,375.0,1,100.08152931319562,100.11123826319329,-3.713618749708658,0,125.0,0.0,3.713618749708658
5,1,2,0.0,4,95.20287679481613,95.23,-10.171201943951047,0,375.0,0.0,10.171201943951047
6,0,1,0.0,4,100.11294106668366,100.14370959629633,-15.384264806336034,0,500.0,0.0,15.384264806336034
7,0,1,125.0,3,99.72319129680305,99.76397645005784,-15.294432470545516,0,375.0,0.0,15.294432470545516
7,1,2,125.0,0,nan,85.79,-8.60034279741878,0,0.0,0.0,0.0
7,2,3,63.0,2,85.65130167558773,85.69,-11.068441653358626,0,62.0,0.0,2.3992961135604958
7,3,4,0.0,4,83.45436611005013,83.49,-2.244935066841421,0,63.0,0.0,2.244935066841421
8,0,1,125.0,3,99.75432112273468,99.78536904657113,-11.642971438670102,0,375.0,0.0,11.642971438670102
8,1,2,94.0,1,86.0371739610931,86.07000000000001,-7.486451820167614,0,31.0,0.0,1.017607206114036
8,2,3,70.0,1,85.16230482464987,85.19,-10.299133633589353,0,24.0,0.0,0.6646842084031732
8,3,4,0.0,4,84.58233550215705,84.61,-1.9365148490064144,0,70.0,0.0,1.9365148490064144
9,0,1,125.0,3,100.12422297958209,100.15590311848356,-11.880052088054427,0,375.0,0.0,11.880052088054427
9,1,2,63.0,2,86.26715048022288,86.3,-6.388271534087728,0,62.0,0.0,2.036670226181201
9,2,3,63.0,0,nan,84.28,-8.703202615813055,0,0.0,0.0,0.0
9,3,4,31.0,2,84.34468279693024,84.38,-7.553942905141705,0,32.0,0.0,1.1301504982320694
9,4,5,23.0,1,83.39370878179797,83.42,-6.565049115892463,0,8.0,0.0,0.2103297456162636
9,5,6,0.0,4,83.15104020756112,83.18,-0.666075226094307,0,23.0,0.0,0.666075226094307
10,0,1,0.0,4,99.88587016458281,99.91900427271197,-16.56705406458059,0,500.0,0.0,16.56705406458059
11,0,1,250.0,2,100.06716312327174,100.1010765486892,-8.478356354366667,0,250.0,0.0,8.478356354366667
11,1,2,250.0,0,nan,90.71000000000001,-17.25880630149814,0,0.0,0.0,0.0
11,2,3,62.0,3,90.83196182519627,90.86,-13.831544788643514,0,188.0,0.0,5.271176863100436
11,3,4,0.0,4,84.33472322446262,84.36,-1.5671600833174466,0,62.0,0.0,1.5671600833174466
12,0,1,500.0,0,nan,100.06237862209694,-0.0,0,0.0,0.0,0.0
12,1,2,500.0,0,nan,100.16,-34.50426849037826,0,0.0,0.0,0.0
