episode,episode_reward,episode_is,completed,mean_loss,epsilon,steps,strategy,is_twap
0,-31.0099999999984,33.50999999998905,1,15.5049999999992,0.9998733333333333,2,tabular_q,0
1,-39.1999999999869,54.14999999998571,1,9.799999999996725,0.99962,4,tabular_q,0
2,-28.630000000004657,28.630000000006817,1,28.630000000004657,0.9995566666666666,1,tabular_q,0
3,-30.279999999998836,30.27999999999409,1,15.139999999999418,0.99943,2,tabular_q,0
4,-22.508333333326057,19.999999999988916,1,7.502777777775353,0.99924,3,tabular_q,0
5,-27.880000000004657,27.879999999999683,1,13.940000000002328,0.9991133333333333,2,tabular_q,0
6,-43.91000000000349,43.909999999996785,1,43.91000000000349,0.99905,1,tabular_q,0
7,-49.051666666655606,55.909999999984805,1,12.262916666663902,0.9987966666666667,4,tabular_q,0
8,-27.54066666666903,34.32999999999792,1,6.885166666667257,0.9985433333333333,4,tabular_q,0
9,-22.33506666666752,23.559999999999732,1,3.722511111111253,0.9981633333333333,6,tabular_q,0
10,-39.00999999999476,39.00999999999044,1,39.00999999999476,0.9981,1,tabular_q,0
11,-28.51000000000058,34.10999999999653,1,7.127500000000145,0.9978466666666667,4,tabular_q,0
12,-31.483333333327515,33.14999999999024,1,5.143055555554586,0.9974666666666666,6,tabular_q,0
13,-26.041466666665958,27.2799999999922,1,5.2082933333331916,0.99715,5,tabular_q,0
14,-30.27843333333748,31.749999999994287,1,4.325490476191069,0.9967066666666666,7,tabular_q,0
15,-32.87056666666914,42.14999999999861,1,6.474113333333828,0.99639,5,tabular_q,0
16,-36.09999999998763,38.599999999981094,1,18.049999999993815,0.9962633333333333,2,tabular_q,0
17,-35.69000000000233,38.19000000000017,1,17.845000000001164,0.9961366666666667,2,tabular_q,0
18,-35.90999999998894,35.90999999998701,1,35.90999999998894,0.9960733333333334,1,tabular_q,0
19,-15.375433333322219,18.389999999986216,1,2.56257222222037,0.9956933333333333,6,tabular_q,0
20,-26.325000000000003,24.99999999999858,1,4.948200001716614,0.9953766666666667,5,tabular_q,0
21,-25.159999999996217,27.659999999990248,1,12.579999999998108,0.99525,2,tabular_q,0
22,-30.60999999999367,33.70999999999036,1,7.333750005958882,0.9949966666666666,4,tabular_q,0
