episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-15.663695902901509,15.663695902901509,1,1,0.0,immediate,0
1,-15.174965782875915,15.174965782875915,1,1,0.0,immediate,0
2,-15.362115479312877,15.362115479312877,1,1,0.0,immediate,0
3,-14.642142293979532,14.642142293979532,1,1,0.0,immediate,0
4,-15.584023204326058,15.584023204326058,1,1,0.0,immediate,0
5,-14.854651618328774,14.854651618328774,1,1,0.0,immediate,0
6,-15.384264806336034,15.384264806336034,1,1,0.0,immediate,0
7,-20.39278467278649,20.39278467278649,1,1,0.0,immediate,0
8,-15.524029848670295,15.524029848670295,1,1,0.0,immediate,0
9,-15.840128257501362,15.840128257501362,1,1,0.0,immediate,0
10,-16.56705406458059,16.56705406458059,1,1,0.0,immediate,0
11,-16.956838116527706,16.956838116527706,1,1,0.0,immediate,0
12,-14.617528810617841,14.617528810617841,1,1,0.0,immediate,0
13,-13.755176446686335,13.755176446686335,1,1,0.0,immediate,0
14,-18.603999141866723,18.603999141866723,1,1,0.0,immediate,0
15,-15.782834717427363,15.782834717427363,1,1,0.0,immediate,0
16,-19.505988771193472,19.505988771193472,1,1,0.0,immediate,0
17,-14.242299016338222,14.242299016338222,1,1,0.0,immediate,0
18,-19.288067379349627,19.288067379349627,1,1,0.0,immediate,0
19,-19.08586843705251,19.08586843705251,1,1,0.0,immediate,0
20,-16.707660351393372,16.707660351393372,1,1,0.0,immediate,0
21,-14.835607752530677,14.835607752530677,1,1,0.0,immediate,0
22,-13.987757368518317,13.987757368518317,1,1,0.0,immediate,0
23,-14.514662789231636,14.514662789231636,1,1,0.0,immediate,0
24,-15.885860997855161,15.885860997855161,1,1,0.0,immediate,0
25,-14.830840001721413,14.830840001721413,1,1,0.0,immediate,0
26,-13.99490083715449,13.99490083715449,1,1,0.0,immediate,0
27,-14.138699870130722,14.138699870130722,1,1,0.0,immediate,0
28,-15.83793175546333,15.83793175546333,1,1,0.0,immediate,0
29,-14.035273498222978,14.035273498222978,1,1,0.0,immediate,0
30,-15.000517981576422,15.000517981576422,1,1,0.0,immediate,0
31,-15.849291769200136,15.849291769200136,1,1,0.0,immediate,0
32,-15.613662186375166,15.613662186375166,1,1,0.0,immediate,0
33,-16.077151707939663,16.077151707939663,1,1,0.0,immediate,0
34,-14.707697307215994,14.707697307215994,1,1,0.0,immediate,0
35,-15.400218661568488,15.400218661568488,1,1,0.0,immediate,0
36,-15.50976492237055,15.50976492237055,1,1,0.0,immediate,0
37,-16.381462945794567,16.381462945794567,1,1,0.0,immediate,0
38,-16.030816632735423,16.030816632735423,1,1,0.0,immediate,0
39,-14.780140487722804,14.780140487722804,1,1,0.0,immediate,0
40,-18.495930631935664,18.495930631935664,1,1,0.0,immediate,0
41,-17.819284407941893,17.819284407941893,1,1,0.0,immediate,0
42,-18.11864000731589,18.11864000731589,1,1,0.0,immediate,0
43,-17.312868599333342,17.312868599333342,1,1,0.0,immediate,0
44,-16.399122077721984,16.399122077721984,1,1,0.0,immediate,0
45,-13.702624553758369,13.702624553758369,1,1,0.0,immediate,0
46,-16.338918093353527,16.338918093353527,1,1,0.0,immediate,0
47,-17.862996931995667,17.862996931995667,1,1,0.0,immediate,0
48,-18.78133092405676,18.78133092405676,1,1,0.0,immediate,0
49,-15.96177218240058,15.96177218240058,1,1,0.0,immediate,0
50,-17.17089184195686,17.17089184195686,1,1,0.0,immediate,0
51,-17.038353658612948,17.038353658612948,1,1,0.0,immediate,0
52,-12.79338953663256,12.79338953663256,1,1,0.0,immediate,0
53,-16.53265657423475,16.53265657423475,1,1,0.0,immediate,0
54,-16.423281737736772,16.423281737736772,1,1,0.0,immediate,0
