episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-15.449679058073684,15.449679058073684,1,10,0.0,twap,1
1,-16.919707178874432,16.919707178874432,1,10,0.0,twap,1
2,-16.01599753707177,16.01599753707177,1,10,0.0,twap,1
3,-14.991850971743759,14.991850971743759,1,10,0.0,twap,1
4,-14.917784326804195,14.917784326804195,1,10,0.0,twap,1
5,-13.920020923471554,13.920020923471554,1,10,0.0,twap,1
6,-15.944493389196168,15.944493389196168,1,10,0.0,twap,1
7,-16.103352327104403,16.103352327104403,1,10,0.0,twap,1
8,-15.360177020410504,15.360177020410504,1,10,0.0,twap,1
9,-15.417426913314358,15.417426913314358,1,10,0.0,twap,1
10,-15.698735564237154,15.698735564237154,1,10,0.0,twap,1
11,-14.630957665379896,14.630957665379896,1,10,0.0,twap,1
12,-15.65442275155462,15.65442275155462,1,10,0.0,twap,1
13,-15.60767354210526,15.60767354210526,1,10,0.0,twap,1
14,-15.845787512105858,15.845787512105858,1,10,0.0,twap,1
15,-15.389234300563004,15.389234300563004,1,10,0.0,twap,1
16,-15.208965647419603,15.208965647419603,1,10,0.0,twap,1
17,-15.25651077625838,15.25651077625838,1,10,0.0,twap,1
18,-15.286462726390226,15.286462726390226,1,10,0.0,twap,1
19,-17.443794841840088,17.443794841840088,1,10,0.0,twap,1
20,-15.031522787919727,15.031522787919727,1,10,0.0,twap,1
21,-16.726884519257368,16.726884519257368,1,10,0.0,twap,1
22,-15.870507322006233,15.870507322006233,1,10,0.0,twap,1
23,-14.554777812957553,14.554777812957553,1,10,0.0,twap,1
24,-15.083193481839885,15.083193481839885,1,10,0.0,twap,1
25,-14.62062042830894,14.62062042830894,1,10,0.0,twap,1
26,-15.779191699799355,15.779191699799355,1,10,0.0,twap,1
27,-14.45503698611077,14.45503698611077,1,10,0.0,twap,1
28,-15.438830121812686,15.438830121812686,1,10,0.0,twap,1
29,-14.580214759627808,14.580214759627808,1,10,0.0,twap,1
30,-15.081402577735048,15.081402577735048,1,10,0.0,twap,1
31,-14.82392806849262,14.82392806849262,1,10,0.0,twap,1
32,-14.641835875902132,14.641835875902132,1,10,0.0,twap,1
33,-15.041219689017282,15.041219689017282,1,10,0.0,twap,1
34,-15.033760027829146,15.033760027829146,1,10,0.0,twap,1
35,-14.6037691530573,14.6037691530573,1,10,0.0,twap,1
36,-14.92269511509221,14.92269511509221,1,10,0.0,twap,1
37,-14.857555772950803,14.857555772950803,1,10,0.0,twap,1
38,-15.970605912738733,15.970605912738733,1,10,0.0,twap,1
39,-14.870029901622672,14.870029901622672,1,10,0.0,twap,1
40,-15.441447031065536,15.441447031065536,1,10,0.0,twap,1
41,-15.897485155433344,15.897485155433344,1,10,0.0,twap,1
42,-15.859969728433754,15.859969728433754,1,10,0.0,twap,1
43,-15.521191114706312,15.521191114706312,1,10,0.0,twap,1
44,-15.382966494273376,15.382966494273376,1,10,0.0,twap,1
45,-15.126458810221521,15.126458810221521,1,10,0.0,twap,1
46,-16.034227185696892,16.034227185696892,1,10,0.0,twap,1
47,-15.006762895944092,15.006762895944092,1,10,0.0,twap,1
48,-15.868057030342442,15.868057030342442,1,10,0.0,twap,1
49,-15.477790969875116,15.477790969875116,1,10,0.0,twap,1
50,-15.269058909375843,15.269058909375843,1,10,0.0,twap,1
51,-15.680256644380819,15.680256644380819,1,10,0.0,twap,1
52,-14.367065492039899,14.367065492039899,1,10,0.0,twap,1
53,-15.223957930972176,15.223957930972176,1,10,0.0,twap,1
54,-15.500869338777079,15.500869338777079,1,10,0.0,twap,1
55,-14.202609963303559,14.202609963303559,1,10,0.0,twap,1
56,-16.252076597628218,16.252076597628218,1,10,0.0,twap,1
57,-15.586363512220913,15.586363512220913,1,10,0.0,twap,1
58,-15.780874549637502,15.780874549637502,1,10,0.0,twap,1
59,-15.329555400808204,15.329555400808204,1,10,0.0,twap,1
60,-15.362583200813162,15.362583200813162,1,10,0.0,twap,1
61,-14.705867480219581,14.705867480219581,1,10,0.0,twap,1
62,-15.224269013175729,15.224269013175729,1,10,0.0,twap,1
63,-14.320776673451263,14.320776673451263,1,10,0.0,twap,1
64,-14.214027075241376,14.214027075241376,1,10,0.0,twap,1
65,-14.243628779630058,14.243628779630058,1,10,0.0,twap,1
66,-15.13062706682291,15.13062706682291,1,10,0.0,twap,1
67,-14.54704206793238,14.54704206793238,1,10,0.0,twap,1
68,-15.471980528474916,15.471980528474916,1,10,0.0,twap,1
69,-15.039551110417193,15.039551110417193,1,10,0.0,twap,1
70,-15.662882874467243,15.662882874467243,1,10,0.0,twap,1
71,-15.226897536328465,15.226897536328465,1,10,0.0,twap,1
72,-14.655597063929804,14.655597063929804,1,10,0.0,twap,1
73,-15.309369211059476,15.309369211059476,1,10,0.0,twap,1
74,-15.95129386247649,15.95129386247649,1,10,0.0,twap,1
75,-16.404541111369042,16.404541111369042,1,10,0.0,twap,1
76,-14.665415891631284,14.665415891631284,1,10,0.0,twap,1
77,-15.331627593433694,15.331627593433694,1,10,0.0,twap,1
78,-16.633738318171964,16.633738318171964,1,10,0.0,twap,1
