episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,450.0,-1,99.92755248377364,99.95887932169568,-1.566341896101875,1,50.0,0.0,1.566341896101875
0,1,2,400.0,-1,98.19100928665216,98.22,-1.449535667391899,1,50.0,0.0,1.449535667391899
0,2,3,350.0,-1,96.37942213032717,96.41,-1.5288934836412693,1,50.0,0.0,1.5288934836412693
0,3,4,300.0,-1,94.5332957063119,94.57000000000001,-1.835214684405173,1,50.0,0.0,1.835214684405173
0,4,5,250.0,-1,92.67152834491156,92.7,-1.4235827544219148,1,50.0,0.0,1.4235827544219148
0,5,6,200.0,-1,90.86031680864858,90.89,-1.4841595675711972,1,50.0,0.0,1.4841595675711972
0,6,7,150.0,-1,89.04667954277316,89.08,-1.6660228613417871,1,50.0,0.0,1.6660228613417871
0,7,8,100.0,-1,87.42841295719462,87.46000000000001,-1.579352140269208,1,50.0,0.0,1.579352140269208
0,8,9,50.0,-1,85.6915675355774,85.72,-1.4216232211296642,1,50.0,0.0,1.4216232211296642
0,9,10,0.0,-1,84.100100944364,84.13,-1.4949527817996966,1,50.0,0.0,1.4949527817996966
1,0,1,450.0,-1,99.76548484602837,99.79583399371525,-1.5174573843438566,1,50.0,0.0,1.5174573843438566
1,1,2,400.0,-1,97.94615826428999,97.98,-1.692086785500635,1,50.0,0.0,1.692086785500635
1,2,3,350.0,-1,96.1639679884718,96.2,-1.8016005764103227,1,50.0,0.0,1.8016005764103227
1,3,4,300.0,-1,94.47779176422145,94.51,-1.6104117889277347,1,50.0,0.0,1.6104117889277347
1,4,5,250.0,-1,92.57090000068715,92.60000000000001,-1.4549999656431112,1,50.0,0.0,1.4549999656431112
1,5,6,200.0,-1,90.85380057681617,90.89,-1.809971159191548,1,50.0,0.0,1.809971159191548
1,6,7,150.0,-1,89.11355926296415,89.15,-1.8220368517930297,1,50.0,0.0,1.8220368517930297
1,7,8,100.0,-1,87.38077879304548,87.42,-1.961060347726118,1,50.0,0.0,1.961060347726118
1,8,9,50.0,-1,85.62584260052606,85.66,-1.7078699736970293,1,50.0,0.0,1.7078699736970293
1,9,10,0.0,-1,84.11915575308718,84.15,-1.5422123456410475,1,50.0,0.0,1.5422123456410475
2,0,1,450.0,-1,99.7208250477366,99.75154818594366,-1.5361569103532702,1,50.0,0.0,1.5361569103532702
2,1,2,400.0,-1,97.66049993349345,97.69,-1.475003325327151,1,50.0,0.0,1.475003325327151
2,2,3,350.0,-1,95.6287583472025,95.67,-2.062082639874774,1,50.0,0.0,2.062082639874774
2,3,4,300.0,-1,93.76007328941965,93.79,-1.496335529017756,1,50.0,0.0,1.496335529017756
2,4,5,250.0,-1,91.6610525314114,91.7,-1.9473734294301437,1,50.0,0.0,1.9473734294301437
2,5,6,200.0,-1,89.6884138885989,89.72,-1.5793055700548564,1,50.0,0.0,1.5793055700548564
2,6,7,150.0,-1,87.66079152796148,87.69,-1.460423601925953,1,50.0,0.0,1.460423601925953
2,7,8,100.0,-1,85.85346698935015,85.88,-1.326650532492124,1,50.0,0.0,1.326650532492124
2,8,9,50.0,-1,84.03916955658799,84.07000000000001,-1.5415221706007287,1,50.0,0.0,1.5415221706007287
2,9,10,0.0,-1,82.3981771234401,82.43,-1.5911438279950119,1,50.0,0.0,1.5911438279950119
3,0,1,450.0,-1,99.85344549330469,99.88272921140229,-1.464185904880111,1,50.0,0.0,1.464185904880111
3,1,2,400.0,-1,98.07100273116035,98.10000000000001,-1.4498634419830125,1,50.0,0.0,1.4498634419830125
3,2,3,350.0,-1,96.21250935271814,96.24000000000001,-1.3745323640932838,1,50.0,0.0,1.3745323640932838
3,3,4,300.0,-1,94.26253700789067,94.29,-1.3731496054667502,1,50.0,0.0,1.3731496054667502
3,4,5,250.0,-1,92.4292501587322,92.46000000000001,-1.5374920633902889,1,50.0,0.0,1.5374920633902889
3,5,6,200.0,-1,90.77750360199977,90.81,-1.624819900011687,1,50.0,0.0,1.624819900011687
3,6,7,150.0,-1,89.06999171593519,89.10000000000001,-1.5004142032410073,1,50.0,0.0,1.5004142032410073
3,7,8,100.0,-1,87.40865818711934,87.44,-1.5670906440327315,1,50.0,0.0,1.5670906440327315
3,8,9,50.0,-1,85.80888405456855,85.84,-1.555797271572601,1,50.0,0.0,1.555797271572601
3,9,10,0.0,-1,84.08910988853856,84.12,-1.5445055730722856,1,50.0,0.0,1.5445055730722856
4,0,1,450.0,-1,100.1525412638759,100.1837081617879,-1.5583448956000723,1,50.0,0.0,1.5583448956000723
4,1,2,400.0,-1,98.077594227286,98.11,-1.6202886357000068,1,50.0,0.0,1.6202886357000068
4,2,3,350.0,-1,96.10129774763551,96.13,-1.4351126182241103,1,50.0,0.0,1.4351126182241103
4,3,4,300.0,-1,94.09080379014578,94.12,-1.459810492711,1,50.0,0.0,1.459810492711
4,4,5,250.0,-1,92.1403196954988,92.17,-1.4840152250599203,1,50.0,0.0,1.4840152250599203
4,5,6,200.0,-1,90.0869002671878,90.12,-1.6549866406101899,1,50.0,0.0,1.6549866406101899
4,6,7,150.0,-1,88.12277795469315,88.15,-1.3611022653428506,1,50.0,0.0,1.3611022653428506
4,7,8,100.0,-1,86.34314070942825,86.37,-1.342964528587487,1,50.0,0.0,1.342964528587487
4,8,9,50.0,-1,84.59761626876293,84.63,-1.6191865618530699,1,50.0,0.0,1.6191865618530699
4,9,10,0.0,-1,82.8123605507377,82.84,-1.3819724631154884,1,50.0,0.0,1.3819724631154884
5,0,1,450.0,-1,100.08152938384342,100.11123826319329,-1.4854439674934383,1,50.0,0.0,1.4854439674934383
5,1,2,400.0,-1,98.10287716579894,98.13,-1.356141710052583,1,50.0,0.0,1.356141710052583
5,2,3,350.0,-1,96.12343884476817,96.15,-1.3280577615915945,1,50.0,0.0,1.3280577615915945
5,3,4,300.0,-1,94.44471060010713,94.47,-1.2644699946434912,1,50.0,0.0,1.2644699946434912
5,4,5,250.0,-1,92.66406435444475,92.69,-1.2967822777625315,1,50.0,0.0,1.2967822777625315
5,5,6,200.0,-1,90.89056324437347,90.92,-1.4718377813267125,1,50.0,0.0,1.4718377813267125
5,6,7,150.0,-1,89.15707452706327,89.19,-1.6462736468362493,1,50.0,0.0,1.6462736468362493
5,7,8,100.0,-1,87.47373665180822,87.5,-1.3131674095888002,1,50.0,0.0,1.3131674095888002
5,8,9,50.0,-1,85.92307817216802,85.95,-1.3460913915992023,1,50.0,0.0,1.3460913915992023
