episode,episode_reward,episode_is,completed,steps,epsilon,strategy,is_twap
0,-32.23146666666339,28.52999999999075,1,59,0.0,twap,1
1,-70.4664666666676,108.41999999999321,1,59,0.0,twap,1
2,-41.62646666666473,25.23999999999822,1,59,0.0,twap,1
3,-38.176466666662634,23.839999999996706,1,59,0.0,twap,1
4,-36.41146666667118,-0.6700000000049897,1,59,0.0,twap,1
5,-39.47646666666236,29.789999999992233,1,59,0.0,twap,1
6,-38.411466666667536,29.41999999999325,1,59,0.0,twap,1
7,-36.361466666667354,41.429999999997946,1,59,0.0,twap,1
8,-30.28146666666857,-11.160000000001645,1,59,0.0,twap,1
9,-48.7564666666637,22.009999999995955,1,59,0.0,twap,1
10,-39.73146666666588,21.72999999999618,1,59,0.0,twap,1
11,-39.5164666666671,17.549999999992494,1,59,0.0,twap,1
12,-58.01646666666574,93.51999999999433,1,59,0.0,twap,1
13,-47.53646666666435,75.95999999999275,1,59,0.0,twap,1
14,-42.48646666666485,38.6699999999926,1,59,0.0,twap,1
15,-49.78146666666697,35.96999999999824,1,59,0.0,twap,1
16,-50.051466666664,74.37999999999796,1,59,0.0,twap,1
17,-38.261466666664724,48.2999999999962,1,59,0.0,twap,1
18,-47.14146666666506,27.169999999990907,1,59,0.0,twap,1
19,-77.46646666666739,114.59999999999242,1,59,0.0,twap,1
20,-46.10146666666691,15.409999999997297,1,59,0.0,twap,1
21,-70.67646666666583,90.47999999999814,1,59,0.0,twap,1
22,-42.11146666666349,32.06999999999249,1,59,0.0,twap,1
23,-56.991466666668366,20.479999999992444,1,59,0.0,twap,1
24,-36.316466666667516,11.129999999993416,1,59,0.0,twap,1
25,-56.14646666666767,11.42999999999725,1,59,0.0,twap,1
26,-46.666466666666054,78.60999999999109,1,59,0.0,twap,1
27,-41.15646666666469,39.49999999999157,1,59,0.0,twap,1
28,-38.76646666666301,46.369999999996026,1,59,0.0,twap,1
29,-31.826466666667955,-5.890000000002331,1,59,0.0,twap,1
30,-50.751466666665635,43.64999999999725,1,59,0.0,twap,1
31,-37.396466666664935,31.429999999997293,1,59,0.0,twap,1
32,-43.03146666666174,66.05999999999305,1,59,0.0,twap,1
33,-36.55646666666365,48.679999999996824,1,59,0.0,twap,1
34,-37.92646666666468,25.999999999997726,1,59,0.0,twap,1
35,-43.66646666666651,30.88999999999284,1,59,0.0,twap,1
36,-31.106466666664744,20.42999999998915,1,59,0.0,twap,1
37,-50.46646666666556,22.81999999999489,1,59,0.0,twap,1
38,-30.23646666666668,8.699999999992599,1,59,0.0,twap,1
39,-47.121466666665754,5.8699999999959545,1,59,0.0,twap,1
40,-44.106466666665426,11.759999999993937,1,59,0.0,twap,1
41,-51.26646666666528,8.939999999989496,1,59,0.0,twap,1
42,-35.87146666666917,4.879999999995562,1,59,0.0,twap,1
43,-35.011466666665406,12.73999999999134,1,59,0.0,twap,1
44,-32.066466666668646,24.55999999999787,1,59,0.0,twap,1
45,-40.46646666666579,47.419999999997486,1,59,0.0,twap,1
46,-54.00646666666188,48.27999999999034,1,59,0.0,twap,1
47,-37.89646666666267,23.529999999996704,1,59,0.0,twap,1
48,-39.85146666666395,28.599999999996683,1,59,0.0,twap,1
49,-34.13146666665962,22.22999999999527,1,59,0.0,twap,1
50,-35.381466666667336,-11.060000000007491,1,59,0.0,twap,1
51,-53.44146666666479,8.42999999999789,1,59,0.0,twap,1
52,-31.966466666668964,0.029999999996633164,1,59,0.0,twap,1
53,-46.55146666666263,50.68999999999633,1,59,0.0,twap,1
54,-33.42646666666105,37.66999999999524,1,59,0.0,twap,1
55,-38.241466666667925,-1.8900000000027433,1,59,0.0,twap,1
56,-36.14146666666255,24.439999999995322,1,59,0.0,twap,1
57,-38.9364666666699,-12.290000000001982,1,59,0.0,twap,1
58,-35.05146666666787,3.549999999997695,1,59,0.0,twap,1
59,-40.14146666666164,54.799999999997056,1,59,0.0,twap,1
60,-39.96646666666396,3.659999999995307,1,59,0.0,twap,1
61,-48.96646666666465,37.299999999993375,1,59,0.0,twap,1
62,-37.19646666666398,50.73999999999846,1,59,0.0,twap,1
63,-83.81146666667082,137.08999999999358,1,59,0.0,twap,1
64,-31.851466666667143,30.599999999992733,1,59,0.0,twap,1
65,-45.25146666666586,6.149999999996382,1,59,0.0,twap,1
66,-31.84146666666488,26.199999999996336,1,59,0.0,twap,1
67,-54.531466666664926,17.239999999991,1,59,0.0,twap,1
68,-25.7214666666709,-7.420000000001423,1,59,0.0,twap,1
69,-42.73146666666361,72.56999999999671,1,59,0.0,twap,1
70,-50.531466666665615,54.739999999992264,1,59,0.0,twap,1
71,-31.911466666664815,2.2699999999955622,1,59,0.0,twap,1
72,-43.51146666666767,44.8399999999979,1,59,0.0,twap,1
73,-54.836466666660435,78.51999999999742,1,59,0.0,twap,1
74,-33.18646666666968,-11.840000000000785,1,59,0.0,twap,1
75,-45.32146666666739,6.939999999991997,1,59,0.0,twap,1
76,-53.75646666666143,76.65999999999863,1,59,0.0,twap,1
77,-28.54646666666458,29.439999999993233,1,59,0.0,twap,1
78,-55.01146666666518,-1.1000000000032628,1,59,0.0,twap,1
79,-40.121466666666215,37.279999999993294,1,59,0.0,twap,1
80,-64.48646666666372,67.39999999999179,1,59,0.0,twap,1
81,-41.62646666666314,66.28999999999698,1,59,0.0,twap,1
82,-41.45646666666739,-2.8300000000026984,1,59,0.0,twap,1
83,-76.68146666666071,88.65999999999343,1,59,0.0,twap,1
84,-31.511466666663132,17.029999999992512,1,59,0.0,twap,1
85,-65.59146666666805,113.79999999999319,1,59,0.0,twap,1
86,-63.68146666666957,110.70999999999684,1,59,0.0,twap,1
87,-56.08646666666953,89.70999999999658,1,59,0.0,twap,1
88,-42.161466666665035,66.73999999999347,1,59,0.0,twap,1
89,-53.956466666662614,49.46999999999812,1,59,0.0,twap,1
90,-50.351466666663036,56.3799999999936,1,59,0.0,twap,1
91,-46.70146666666296,35.529999999997116,1,59,0.0,twap,1
92,-64.46146666666158,77.44999999999332,1,59,0.0,twap,1
93,-30.566466666665008,16.00999999999587,1,59,0.0,twap,1
94,-51.56646666666183,78.4199999999994,1,59,0.0,twap,1
95,-64.87646666667177,105.71999999999716,1,59,0.0,twap,1
96,-41.4014666666705,-22.5700000000039,1,59,0.0,twap,1
97,-51.101466666664415,59.33999999999888,1,59,0.0,twap,1
98,-31.751466666666552,25.889999999991872,1,59,0.0,twap,1
99,-44.52146666666562,22.48999999999694,1,59,0.0,twap,1
100,-55.08646666666932,-4.8700000000062005,1,59,0.0,twap,1
101,-41.65646666666856,-5.8300000000023005,1,59,0.0,twap,1
